phase,source_role,source_seed,schedule_id,grid_size,checkpoint,action_index,autocorrelation_ess,challenger_index,mcse,mean,observable,observable_type,required_for_strict_gate,split_rhat,standard_deviation,pooled_top_ten_member,absolute_estimate_over_mcse
CALIBRATION,calibration,2026082401,S1,24,early,203,16860.53318566817,,0.002170995647897742,0.24059906240472118,utility_action_203,TOP_ACTION_UTILITY,False,1.0002436203888505,0.28189969436357243,False,110.8242951282295
CALIBRATION,calibration,2026082401,S1,24,early,227,16526.13817251048,203.0,0.0033116622214357,0.18699726650030726,gap_227_vs_203,LEADER_CHALLENGER_GAP,False,1.0005789440119905,0.4257275186814276,True,56.46628611152215
CALIBRATION,calibration,2026082401,S1,24,early,204,14785.709253710196,,0.0023618774631099437,0.24781607392397723,utility_action_204,TOP_ACTION_UTILITY,True,1.0003099249128617,0.28719603723048615,True,104.92334077216331
CALIBRATION,calibration,2026082401,S1,24,early,227,16196.629688235116,204.0,0.0035119987153619785,0.1797802549810512,gap_227_vs_204,LEADER_CHALLENGER_GAP,True,1.0003569549312594,0.44695795858490556,True,51.19029633885314
CALIBRATION,calibration,2026082401,S1,24,early,227,17936.338175186775,,0.0025915984248253707,0.42759632890502847,utility_action_227,TOP_ACTION_UTILITY,True,1.0004879268320386,0.34708400418427177,True,164.9932816786
CALIBRATION,calibration,2026082401,S1,24,early,228,19140.18177175702,,0.002524309783942267,0.41944917557339734,utility_action_228,TOP_ACTION_UTILITY,True,1.0001898363538553,0.34923332555733044,True,166.1639067604194
CALIBRATION,calibration,2026082401,S1,24,early,227,19139.593677317862,228.0,0.003345047439629603,0.008147153331631105,gap_227_vs_228,LEADER_CHALLENGER_GAP,True,1.000274911258446,0.46277366664790504,True,2.435586782749257
CALIBRATION,calibration,2026082401,S1,24,early,251,17751.669256315363,,0.002106257903244978,0.23790071211377728,utility_action_251,TOP_ACTION_UTILITY,False,1.00022518865994,0.2806280940320076,False,112.94946917338979
CALIBRATION,calibration,2026082401,S1,24,early,227,18119.26834974278,251.0,0.0031413622350433827,0.18969561679125113,gap_227_vs_251,LEADER_CHALLENGER_GAP,False,1.000366756226102,0.42285195898239686,True,60.386419202187746
CALIBRATION,calibration,2026082401,S1,24,early,252,17420.511888627905,,0.0021727697075246697,0.2464141226888053,utility_action_252,TOP_ACTION_UTILITY,False,1.0001993842566976,0.28677689214300284,True,113.41014274795504
CALIBRATION,calibration,2026082401,S1,24,early,227,18035.651309417502,252.0,0.0033031029437426114,0.1811822062162231,gap_227_vs_252,LEADER_CHALLENGER_GAP,False,1.0002588911671668,0.44359641144464407,True,54.85212217180641
CALIBRATION,calibration,2026082401,S1,24,early,323,17983.64033500697,,0.0021226663121255043,0.2504381722414937,utility_action_323,TOP_ACTION_UTILITY,True,1.000102640506131,0.2846561240585727,True,117.98282698080824
CALIBRATION,calibration,2026082401,S1,24,early,227,17098.514965740444,323.0,0.0034555274134669763,0.1771581566635348,gap_227_vs_323,LEADER_CHALLENGER_GAP,True,1.0002693926632116,0.45184922225859586,True,51.26805128881605
CALIBRATION,calibration,2026082401,S1,24,early,324,15754.962876891424,,0.0022647393134457116,0.2432160979268217,utility_action_324,TOP_ACTION_UTILITY,False,1.0002239931665367,0.2842673043125509,True,107.39253585737335
CALIBRATION,calibration,2026082401,S1,24,early,227,18187.75690283354,324.0,0.0033285358052598003,0.18438023097820672,gap_227_vs_324,LEADER_CHALLENGER_GAP,False,1.0002831277911577,0.4488929693458278,True,55.3937952798484
CALIBRATION,calibration,2026082401,S1,24,early,347,18804.246863964414,,0.002536344473474422,0.42376849435850705,utility_action_347,TOP_ACTION_UTILITY,True,1.0004287800527871,0.34780531059266134,True,167.07844647695117
CALIBRATION,calibration,2026082401,S1,24,early,227,17773.318374177805,347.0,0.00369904663794687,0.003827834546521352,gap_227_vs_347,LEADER_CHALLENGER_GAP,True,1.0002939865517833,0.4931443562311726,True,1.034816513869629
CALIBRATION,calibration,2026082401,S1,24,early,348,17800.205518743587,,0.002596600852855941,0.42065162080119545,utility_action_348,TOP_ACTION_UTILITY,True,1.0002005911804515,0.3464317628069783,True,162.0008790871845
CALIBRATION,calibration,2026082401,S1,24,early,227,18286.828234870016,348.0,0.003642774072409504,0.00694470810383303,gap_227_vs_348,LEADER_CHALLENGER_GAP,True,1.0003365663915147,0.49260796493991543,True,1.9064339335322738
CALIBRATION,calibration,2026082401,S1,24,early,371,16670.888315881264,,0.002232868285022317,0.25746473260513486,utility_action_371,TOP_ACTION_UTILITY,True,1.0001667465585515,0.2882985619991016,True,115.3067264791938
CALIBRATION,calibration,2026082401,S1,24,early,227,17139.618665743266,371.0,0.003432267297857944,0.17013159629989355,gap_227_vs_371,LEADER_CHALLENGER_GAP,True,1.0004197115221665,0.44934682774791745,True,49.5682828683161
CALIBRATION,calibration,2026082401,S1,24,early,372,16605.208999463648,,0.0022031945344161675,0.24465029236925995,utility_action_372,TOP_ACTION_UTILITY,False,1.0002473243834962,0.2839062926840382,True,111.0434364953119
CALIBRATION,calibration,2026082401,S1,24,early,227,18325.044917725812,372.0,0.003322998508150245,0.18294603653576846,gap_227_vs_372,LEADER_CHALLENGER_GAP,False,1.0004583436436634,0.44983440645595174,True,55.05450456479615
CALIBRATION,calibration,2026082401,S1,24,middle,203,13519.644680298457,,0.001179540495566638,0.054160427754476534,utility_action_203,TOP_ACTION_UTILITY,True,1.0006672204263332,0.1371498997189103,True,45.91654797613241
CALIBRATION,calibration,2026082401,S1,24,middle,371,13232.255022999692,203.0,0.0017163725740491213,0.0033362043818907436,gap_371_vs_203,LEADER_CHALLENGER_GAP,True,1.0005391144879603,0.19743697912513986,True,1.9437530244498442
CALIBRATION,calibration,2026082401,S1,24,middle,204,12722.745578878492,,0.0012196763192584925,0.05426227843232019,utility_action_204,TOP_ACTION_UTILITY,True,1.0007427876146202,0.1375735718432535,True,44.48908089427298
CALIBRATION,calibration,2026082401,S1,24,middle,371,12104.418812233995,204.0,0.0017911762858065648,0.003234353704047092,gap_371_vs_204,LEADER_CHALLENGER_GAP,True,1.0005115443644055,0.1970653648442072,True,1.8057148979005524
CALIBRATION,calibration,2026082401,S1,24,middle,226,14107.288470992891,,0.0007512406195326559,0.0245942354830692,utility_action_226,TOP_ACTION_UTILITY,False,1.000284050206204,0.08922793365547346,True,32.738159843339126
CALIBRATION,calibration,2026082401,S1,24,middle,371,12864.246954179289,226.0,0.001478268850476859,0.03290239665329808,gap_371_vs_226,LEADER_CHALLENGER_GAP,False,1.0002200398066354,0.16766623414832207,True,22.257383454088508
CALIBRATION,calibration,2026082401,S1,24,middle,229,13814.37432047455,,0.0007500102424027457,0.024022616168345924,utility_action_229,TOP_ACTION_UTILITY,False,1.00037377118785,0.08815212870540542,True,32.02971747610627
CALIBRATION,calibration,2026082401,S1,24,middle,371,12755.34783721558,229.0,0.0014841659248190384,0.03347401596802135,gap_371_vs_229,LEADER_CHALLENGER_GAP,False,1.0001572405473624,0.16762107032944,True,22.554092779149865
CALIBRATION,calibration,2026082401,S1,24,middle,251,13281.47859362176,,0.0011700291753402208,0.05278297299590599,utility_action_251,TOP_ACTION_UTILITY,True,1.0007910515482417,0.13484036038438374,True,45.11252719878354
CALIBRATION,calibration,2026082401,S1,24,middle,371,12865.500330011297,251.0,0.0017411296960166895,0.004713659140461292,gap_371_vs_251,LEADER_CHALLENGER_GAP,True,1.0002249298951538,0.19748970581232073,True,2.7072418276737666
CALIBRATION,calibration,2026082401,S1,24,middle,252,13047.106212898272,,0.0012003790564850245,0.053719184174377876,utility_action_252,TOP_ACTION_UTILITY,True,1.0001676389639997,0.1371120134698688,True,44.75185057933245
CALIBRATION,calibration,2026082401,S1,24,middle,371,12731.832892634138,252.0,0.0017345193513967263,0.003777447961989403,gap_371_vs_252,LEADER_CHALLENGER_GAP,True,1.000247072935733,0.195715226323269,True,2.177806756060463
CALIBRATION,calibration,2026082401,S1,24,middle,323,13814.332808331,,0.0011471463183914381,0.053096606018757375,utility_action_323,TOP_ACTION_UTILITY,True,1.0003739575016422,0.1348291426540978,True,46.285818267028894
CALIBRATION,calibration,2026082401,S1,24,middle,371,12646.051467255338,323.0,0.0017461700330602408,0.00440002611760991,gap_371_vs_323,LEADER_CHALLENGER_GAP,True,1.0004308823796064,0.19636496444706747,True,2.5198153869922213
CALIBRATION,calibration,2026082401,S1,24,middle,324,13704.051637785555,,0.001135833932151088,0.052325381586307555,utility_action_324,TOP_ACTION_UTILITY,True,1.0007998857784104,0.13296561050622477,True,46.06780983132951
CALIBRATION,calibration,2026082401,S1,24,middle,371,13311.2922779096,324.0,0.001684333086546787,0.005171250550059724,gap_371_vs_324,LEADER_CHALLENGER_GAP,True,1.000357579160555,0.19432921198573408,True,3.070206594742968
CALIBRATION,calibration,2026082401,S1,24,middle,349,13733.226823970881,,0.0007512523570969423,0.023347597502007277,utility_action_349,TOP_ACTION_UTILITY,False,1.0007996585827112,0.08803840062023263,False,31.078235271339697
CALIBRATION,calibration,2026082401,S1,24,middle,371,13161.855032713223,349.0,0.0014473096061489617,0.034149034634360004,gap_371_vs_349,LEADER_CHALLENGER_GAP,False,1.0002637184303367,0.16604278006137368,True,23.594837268595644
CALIBRATION,calibration,2026082401,S1,24,middle,371,12410.539761172435,,0.0012739153517066317,0.057496632136367284,utility_action_371,TOP_ACTION_UTILITY,True,1.0001649980674687,0.14191748507254295,True,45.13379327703408
CALIBRATION,calibration,2026082401,S1,24,middle,372,13838.846891026282,,0.0011376261629450558,0.051441872841985356,utility_action_372,TOP_ACTION_UTILITY,True,1.0001273711303662,0.13382878143690918,True,45.21860916842316
CALIBRATION,calibration,2026082401,S1,24,middle,371,13280.642838231157,372.0,0.0016443152870484683,0.0060547592943819275,gap_371_vs_372,LEADER_CHALLENGER_GAP,True,1.0001086233939185,0.18949364206769378,True,3.682237428595685
CALIBRATION,calibration,2026082401,S1,24,late,226,13852.919808007713,,0.0007415491320655094,0.023483487917340624,utility_action_226,TOP_ACTION_UTILITY,True,1.0005747956581725,0.08727916667000457,True,31.66814834228147
CALIBRATION,calibration,2026082401,S1,24,late,371,14378.454219265264,226.0,0.0013594724937412552,0.03165462581489309,gap_371_vs_226,LEADER_CHALLENGER_GAP,True,1.0009646677826693,0.16301460816151783,True,23.284491566121993
CALIBRATION,calibration,2026082401,S1,24,late,227,13768.016539906292,,0.0002467817386711419,0.019581082107040196,utility_action_227,TOP_ACTION_UTILITY,False,1.0007481766641473,0.02895667616154632,True,79.34574986171764
