backend,state_id,source_role,source_seed,grid_size,checkpoint,attempt,attempt_status,selected_proposal,acceptance_fraction,accepted_transitions,action_index,burn_in,chain_index,initialization,proposal_seed,retained_count,total_transitions,uniform_seed,wall_seconds,work,maximum_split_rhat,minimum_gap_ess,initial_angle_max,initial_angle_min,likelihood_evaluations,maximum_likelihood_evaluations_one_transition,mean_likelihood_evaluations_per_transition
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.0,0,227,1024,0,LAPLACE_MODE,1255884503,4096,5120,3564963435,0.1377803748473525,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",8.029199249565174,12993.633999915812,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6662109375,3411,227,1024,1,INDEPENDENT_SELECTED_PROPOSAL_DRAW,2822798299,4096,5120,3425258390,0.1495548340026289,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",8.029199249565174,12993.633999915812,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.65859375,3372,347,1024,2,INDEPENDENT_SELECTED_PROPOSAL_DRAW,478072199,4096,5120,1117588945,0.141022042138502,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",8.029199249565174,12993.633999915812,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.671484375,3438,227,1024,3,INDEPENDENT_SELECTED_PROPOSAL_DRAW,528541409,4096,5120,1953800447,0.1384558749850839,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",8.029199249565174,12993.633999915812,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6671875,3416,228,1024,4,INDEPENDENT_SELECTED_PROPOSAL_DRAW,2447073554,4096,5120,2964035381,0.1372099579311907,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",8.029199249565174,12993.633999915812,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.650390625,3330,228,1024,5,INDEPENDENT_SELECTED_PROPOSAL_DRAW,3318427991,4096,5120,2685507815,0.1482995001133531,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",8.029199249565174,12993.633999915812,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6560546875,3359,228,1024,6,INDEPENDENT_SELECTED_PROPOSAL_DRAW,591064947,4096,5120,307287451,0.1403653330635279,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",8.029199249565174,12993.633999915812,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6646484375,3403,227,1024,7,INDEPENDENT_SELECTED_PROPOSAL_DRAW,3398559813,4096,5120,1020989235,0.1367157499771565,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",8.029199249565174,12993.633999915812,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_middle_q8,calibration,2026082401,24,middle,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.0,0,127,1024,0,LAPLACE_MODE,999561328,4096,5120,1651609814,0.1398538330104202,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.976347293238754,13121.841556650334,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_middle_q8,calibration,2026082401,24,middle,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.656640625,3362,323,1024,1,INDEPENDENT_SELECTED_PROPOSAL_DRAW,4085369303,4096,5120,1058845708,0.1382926248479634,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.976347293238754,13121.841556650334,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_middle_q8,calibration,2026082401,24,middle,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6625,3392,252,1024,2,INDEPENDENT_SELECTED_PROPOSAL_DRAW,2363870702,4096,5120,34053016,0.1369849168695509,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.976347293238754,13121.841556650334,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_middle_q8,calibration,2026082401,24,middle,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.65078125,3332,203,1024,3,INDEPENDENT_SELECTED_PROPOSAL_DRAW,2706975052,4096,5120,2827469440,0.140507334144786,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.976347293238754,13121.841556650334,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_middle_q8,calibration,2026082401,24,middle,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6658203125,3409,204,1024,4,INDEPENDENT_SELECTED_PROPOSAL_DRAW,271382459,4096,5120,2471266602,0.1368267498910427,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.976347293238754,13121.841556650334,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_middle_q8,calibration,2026082401,24,middle,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.684375,3504,371,1024,5,INDEPENDENT_SELECTED_PROPOSAL_DRAW,1893046519,4096,5120,3441066863,0.1374658329878002,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.976347293238754,13121.841556650334,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_middle_q8,calibration,2026082401,24,middle,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6607421875,3383,204,1024,6,INDEPENDENT_SELECTED_PROPOSAL_DRAW,713916905,4096,5120,3859005353,0.1359854170586913,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.976347293238754,13121.841556650334,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_middle_q8,calibration,2026082401,24,middle,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.655859375,3358,371,1024,7,INDEPENDENT_SELECTED_PROPOSAL_DRAW,3611698616,4096,5120,1199382096,0.1405996659304946,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.976347293238754,13121.841556650334,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_late_q12,calibration,2026082401,24,late,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.0,0,127,1024,0,LAPLACE_MODE,4164622177,4096,5120,4062557275,0.1337176668457687,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.9611773450770995,12844.876042069882,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_late_q12,calibration,2026082401,24,late,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.675390625,3458,371,1024,1,INDEPENDENT_SELECTED_PROPOSAL_DRAW,1775603500,4096,5120,2224864322,0.1341153329703956,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.9611773450770995,12844.876042069882,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_late_q12,calibration,2026082401,24,late,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6494140625,3325,371,1024,2,INDEPENDENT_SELECTED_PROPOSAL_DRAW,3900913568,4096,5120,2355091079,0.1346527498681098,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.9611773450770995,12844.876042069882,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_late_q12,calibration,2026082401,24,late,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6619140625,3389,251,1024,3,INDEPENDENT_SELECTED_PROPOSAL_DRAW,321084427,4096,5120,3539035707,0.1359315000008791,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.9611773450770995,12844.876042069882,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_late_q12,calibration,2026082401,24,late,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6671875,3416,371,1024,4,INDEPENDENT_SELECTED_PROPOSAL_DRAW,1597642610,4096,5120,4280773928,0.1359993340447545,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.9611773450770995,12844.876042069882,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_late_q12,calibration,2026082401,24,late,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6755859375,3459,371,1024,5,INDEPENDENT_SELECTED_PROPOSAL_DRAW,2998758882,4096,5120,3313311669,0.1448678751476109,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.9611773450770995,12844.876042069882,,,,,
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_late_q12,calibration,2026082401,24,late,1,NOT_SELECTED,CURVATURE_TEMPERED_LAMBDA_0.40,0.6701171875,3431,371,1024,6,INDEPENDENT_SELECTED_PROPOSAL_DRAW,288670484,4096,5120,3875159315,0.1660682088695466,"{""factor_energy_evaluations"": 2949696, ""factor_gradient_elements"": 0, ""factor_hessian_elements"": 0, ""sparse_comparison_solves"": 0}",7.9611773450770995,12844.876042069882,,,,,
