backend,state_id,source_role,source_seed,grid_size,checkpoint,attempt,attempt_status,action_index,autocorrelation_ess,challenger_index,mcse,mean,observable,observable_type,split_rhat,standard_deviation
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,,13219.447157971435,,0.8686636416309982,262.70795228415443,target_energy,TARGET_ENERGY,6.441872993760247,99.87534462058204
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,,13606.327872629385,,0.1010130893107913,32.457220542350356,full_factor_energy,FULL_FACTOR_ENERGY,8.029199249565174,11.782789510367424
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,227.0,13966.104861886197,,0.0027410513923258,0.4187272595531972,utility_action_227,TOP_ACTION_UTILITY,1.0013593003708416,0.3239327273178625
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,228.0,13669.6843997306,,0.0027835398037225,0.4153203604102317,utility_action_228,TOP_ACTION_UTILITY,1.0017942951213388,0.3254443077968392
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,227.0,13573.203094035474,228.0,0.0037125444262592,0.0034068991429655,gap_227_vs_228,LEADER_CHALLENGER_GAP,1.0005580309364577,0.4325266116756451
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,252.0,11854.059509789997,,0.0025032145154489,0.2325236998054587,utility_action_252,TOP_ACTION_UTILITY,1.009885575668844,0.272540858794819
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,227.0,12993.633999915812,252.0,0.0036754748528246,0.1862035597477385,gap_227_vs_252,LEADER_CHALLENGER_GAP,1.002182954369477,0.4189659903726876
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,323.0,13241.677819790044,,0.0023679701820565,0.2407733972205827,utility_action_323,TOP_ACTION_UTILITY,1.008367630793822,0.272488223705878
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,227.0,13623.078331848992,323.0,0.0036273338413248,0.1779538623326146,gap_227_vs_323,LEADER_CHALLENGER_GAP,1.00201863959526,0.4233749463004564
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,324.0,13339.064437768222,,0.0023457161395299,0.2335849635259184,utility_action_324,TOP_ACTION_UTILITY,1.0076814497261464,0.2709181749198187
LAPLACE_INDEPENDENCE_MH,calibration_n24_r-2_early_q4,calibration,2026082401,24,early,1,NOT_SELECTED,227.0,13546.250634184007,324.0,0.0036333773735305,0.1851422960272788,gap_227_vs_324,LEADER_CHALLENGER_GAP,1.0016837632940692,0.4228828383037289
