level,horizon,action_points,quadrature_points,belief_points,incumbent_points,first_action,value,forced_myopic_action,forced_myopic_value,forced_myopic_relative_loss,candidate_index,delta,noise_std,candidate_passes,diagnostic_to_optimal_ei_ratio,wall_clock_seconds
design_scan,1,201,15,81,101,0.25,0.4450012969600865,0.25,0.4450012969600865,0.0,1,0.15,0.1,False,4.347494005956036e-05,1.8064787921030074
design_scan,2,201,15,81,101,0.25,0.5287337477384056,0.25,0.5287337477384056,0.0,1,0.15,0.1,False,4.347494005956036e-05,1.8064787921030074
design_scan,3,201,15,81,101,0.5,0.5664281499643402,0.25,0.5661164275204834,0.0005503300707714184,1,0.15,0.1,False,4.347494005956036e-05,1.8064787921030074
design_scan,1,201,15,81,101,0.25,0.44517159089930813,0.25,0.44517159089930813,0.0,2,0.15,0.15,False,0.0014394749401165476,1.8419643330853432
design_scan,2,201,15,81,101,0.25,0.5479468475129713,0.25,0.5479468475129713,0.0,2,0.15,0.15,False,0.0014394749401165476,1.8419643330853432
design_scan,3,201,15,81,101,0.25,0.5974943582827458,0.25,0.5974943582827458,0.0,2,0.15,0.15,False,0.0014394749401165476,1.8419643330853432
design_scan,1,201,15,81,101,0.25,0.4464038721331866,0.25,0.4464038721331866,0.0,3,0.15,0.2,False,0.006591451834830355,2.219915166962892
design_scan,2,201,15,81,101,0.25,0.5710806750545855,0.25,0.5710806750545855,0.0,3,0.15,0.2,False,0.006591451834830355,2.219915166962892
design_scan,3,201,15,81,101,0.25,0.6327369851532337,0.25,0.6327369851532337,0.0,3,0.15,0.2,False,0.006591451834830355,2.219915166962892
design_scan,1,201,15,81,101,0.25,0.4496879529375355,0.25,0.4496879529375355,0.0,4,0.15,0.25,False,0.01564186564091707,2.310929958941415
design_scan,2,201,15,81,101,0.25,0.5962898929691806,0.25,0.5962898929691806,0.0,4,0.15,0.25,False,0.01564186564091707,2.310929958941415
design_scan,3,201,15,81,101,0.25,0.6711839644668722,0.25,0.6711839644668722,0.0,4,0.15,0.25,False,0.01564186564091707,2.310929958941415
design_scan,1,201,15,81,101,0.25,0.4200092632372582,0.25,0.4200092632372582,0.0,5,0.2,0.1,False,4.604804813217267e-05,1.8268345408141613
design_scan,2,201,15,81,101,0.25,0.5265289589472987,0.25,0.5265289589472987,0.0,5,0.2,0.1,False,4.604804813217267e-05,1.8268345408141613
design_scan,3,201,15,81,101,0.25,0.5681770060356566,0.25,0.5681770060356566,0.0,5,0.2,0.1,False,4.604804813217267e-05,1.8268345408141613
design_scan,1,201,15,81,101,0.25,0.4204472583273572,0.25,0.4204472583273572,0.0,6,0.2,0.15,False,0.001523891993029098,2.032477374887094
design_scan,2,201,15,81,101,0.25,0.539464526880351,0.25,0.539464526880351,0.0,6,0.2,0.15,False,0.001523891993029098,2.032477374887094
design_scan,3,201,15,81,101,0.25,0.5939000418522177,0.25,0.5939000418522177,0.0,6,0.2,0.15,False,0.001523891993029098,2.032477374887094
design_scan,1,201,15,81,101,0.25,0.42247058483274125,0.25,0.42247058483274125,0.0,7,0.2,0.2,False,0.006964188937090671,2.000190165825188
design_scan,2,201,15,81,101,0.25,0.5593241142313028,0.25,0.5593241142313028,0.0,7,0.2,0.2,False,0.006964188937090671,2.000190165825188
design_scan,3,201,15,81,101,0.25,0.6256966575322508,0.25,0.6256966575322508,0.0,7,0.2,0.2,False,0.006964188937090671,2.000190165825188
design_scan,1,201,15,81,101,0.25,0.42679163317478497,0.25,0.42679163317478497,0.0,8,0.2,0.25,False,0.016479865296614587,1.898253042018041
design_scan,2,201,15,81,101,0.25,0.5820899796794609,0.25,0.5820899796794609,0.0,8,0.2,0.25,False,0.016479865296614587,1.898253042018041
design_scan,3,201,15,81,101,0.25,0.6602218719429941,0.25,0.6602218719429941,0.0,8,0.2,0.25,False,0.016479865296614587,1.898253042018041
design_scan,1,201,15,81,101,0.25,0.39505300617455863,0.25,0.39505300617455863,0.0,9,0.25,0.1,False,4.894231948595721e-05,1.8525020838715136
design_scan,2,201,15,81,101,0.25,0.5276483284669365,0.25,0.5276483284669365,0.0,9,0.25,0.1,False,4.894231948595721e-05,1.8525020838715136
design_scan,3,201,15,81,101,0.25,0.5716773166929978,0.25,0.5716773166929978,0.0,9,0.25,0.1,False,4.894231948595721e-05,1.8525020838715136
design_scan,1,201,15,81,101,0.25,0.39607567424790247,0.25,0.39607567424790247,0.0,10,0.25,0.15,False,0.0016174158789672632,1.7775897497776896
design_scan,2,201,15,81,101,0.25,0.5345348313983805,0.25,0.5345348313983805,0.0,10,0.25,0.15,False,0.0016174158789672632,1.7775897497776896
design_scan,3,201,15,81,101,0.25,0.5933573832504434,0.25,0.5933573832504434,0.0,10,0.25,0.15,False,0.0016174158789672632,1.7775897497776896
design_scan,1,201,15,81,101,0.25,0.39923614192682544,0.25,0.39923614192682544,0.0,11,0.25,0.2,False,0.007368772610229848,1.9349600409623235
design_scan,2,201,15,81,101,0.25,0.5505807658341725,0.25,0.5505807658341725,0.0,11,0.25,0.2,False,0.007368772610229848,1.9349600409623235
design_scan,3,201,15,81,101,0.25,0.621703177855871,0.25,0.621703177855871,0.0,11,0.25,0.2,False,0.007368772610229848,1.9349600409623235
design_scan,1,201,15,81,101,0.25,0.4047764054422244,0.25,0.4047764054422244,0.0,12,0.25,0.25,False,0.017374972064124538,1.8502617911435664
