seed,factor_index,left_action_index,right_action_index,left_x,right_x,preference_sign,positive_sign_probability,preference_bank_sha256,generated_before_methods,config_sha256
0,0,0,16,0.0,1.0,1,0.5011851545994197,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,1,1,15,0.0625,0.9375,-1,0.5317483238945183,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,2,2,14,0.125,0.875,-1,0.5373945508626916,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,3,3,13,0.1875,0.8125,1,0.4291055887598706,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,4,4,12,0.25,0.75,-1,0.30771447667049057,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,5,5,11,0.3125,0.6875,1,0.3529330865142149,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,6,6,10,0.375,0.625,-1,0.43851881525917097,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,7,7,9,0.4375,0.5625,-1,0.47416738616628856,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
1,0,0,16,0.0,1.0,-1,0.5011851545994197,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
1,1,1,15,0.0625,0.9375,-1,0.5317483238945183,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
1,2,2,14,0.125,0.875,-1,0.5373945508626916,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
1,3,3,13,0.1875,0.8125,-1,0.4291055887598706,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
1,4,4,12,0.25,0.75,1,0.30771447667049057,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
1,5,5,11,0.3125,0.6875,1,0.3529330865142149,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
1,6,6,10,0.375,0.625,1,0.43851881525917097,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
1,7,7,9,0.4375,0.5625,-1,0.47416738616628856,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
2,0,0,16,0.0,1.0,1,0.5011851545994197,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
2,1,1,15,0.0625,0.9375,-1,0.5317483238945183,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
2,2,2,14,0.125,0.875,1,0.5373945508626916,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
2,3,3,13,0.1875,0.8125,-1,0.4291055887598706,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
2,4,4,12,0.25,0.75,-1,0.30771447667049057,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
2,5,5,11,0.3125,0.6875,-1,0.3529330865142149,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
2,6,6,10,0.375,0.625,-1,0.43851881525917097,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
2,7,7,9,0.4375,0.5625,1,0.47416738616628856,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
3,0,0,16,0.0,1.0,-1,0.5011851545994197,a8a176ac33ae440520fcc681f416bac964539a1a97136c57c3b7d76b7f411dde,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
3,1,1,15,0.0625,0.9375,1,0.5317483238945183,a8a176ac33ae440520fcc681f416bac964539a1a97136c57c3b7d76b7f411dde,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
3,2,2,14,0.125,0.875,-1,0.5373945508626916,a8a176ac33ae440520fcc681f416bac964539a1a97136c57c3b7d76b7f411dde,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
3,3,3,13,0.1875,0.8125,-1,0.4291055887598706,a8a176ac33ae440520fcc681f416bac964539a1a97136c57c3b7d76b7f411dde,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
3,4,4,12,0.25,0.75,-1,0.30771447667049057,a8a176ac33ae440520fcc681f416bac964539a1a97136c57c3b7d76b7f411dde,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
3,5,5,11,0.3125,0.6875,-1,0.3529330865142149,a8a176ac33ae440520fcc681f416bac964539a1a97136c57c3b7d76b7f411dde,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
3,6,6,10,0.375,0.625,-1,0.43851881525917097,a8a176ac33ae440520fcc681f416bac964539a1a97136c57c3b7d76b7f411dde,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
3,7,7,9,0.4375,0.5625,1,0.47416738616628856,a8a176ac33ae440520fcc681f416bac964539a1a97136c57c3b7d76b7f411dde,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
4,0,0,16,0.0,1.0,1,0.5011851545994197,76eeded96d3fc50eb5c4fc20756f7c1ad178e24240f97c98c578007af4716a5f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
4,1,1,15,0.0625,0.9375,1,0.5317483238945183,76eeded96d3fc50eb5c4fc20756f7c1ad178e24240f97c98c578007af4716a5f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
4,2,2,14,0.125,0.875,1,0.5373945508626916,76eeded96d3fc50eb5c4fc20756f7c1ad178e24240f97c98c578007af4716a5f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
4,3,3,13,0.1875,0.8125,-1,0.4291055887598706,76eeded96d3fc50eb5c4fc20756f7c1ad178e24240f97c98c578007af4716a5f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
4,4,4,12,0.25,0.75,-1,0.30771447667049057,76eeded96d3fc50eb5c4fc20756f7c1ad178e24240f97c98c578007af4716a5f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
4,5,5,11,0.3125,0.6875,-1,0.3529330865142149,76eeded96d3fc50eb5c4fc20756f7c1ad178e24240f97c98c578007af4716a5f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
4,6,6,10,0.375,0.625,-1,0.43851881525917097,76eeded96d3fc50eb5c4fc20756f7c1ad178e24240f97c98c578007af4716a5f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
4,7,7,9,0.4375,0.5625,1,0.47416738616628856,76eeded96d3fc50eb5c4fc20756f7c1ad178e24240f97c98c578007af4716a5f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
5,0,0,16,0.0,1.0,-1,0.5011851545994197,0d91a030c4bd0be28c03a86d75b8ccfe974dbdb6c0c587c2cd81315b907e8f28,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
5,1,1,15,0.0625,0.9375,-1,0.5317483238945183,0d91a030c4bd0be28c03a86d75b8ccfe974dbdb6c0c587c2cd81315b907e8f28,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
5,2,2,14,0.125,0.875,-1,0.5373945508626916,0d91a030c4bd0be28c03a86d75b8ccfe974dbdb6c0c587c2cd81315b907e8f28,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
5,3,3,13,0.1875,0.8125,1,0.4291055887598706,0d91a030c4bd0be28c03a86d75b8ccfe974dbdb6c0c587c2cd81315b907e8f28,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
5,4,4,12,0.25,0.75,1,0.30771447667049057,0d91a030c4bd0be28c03a86d75b8ccfe974dbdb6c0c587c2cd81315b907e8f28,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
5,5,5,11,0.3125,0.6875,1,0.3529330865142149,0d91a030c4bd0be28c03a86d75b8ccfe974dbdb6c0c587c2cd81315b907e8f28,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
5,6,6,10,0.375,0.625,-1,0.43851881525917097,0d91a030c4bd0be28c03a86d75b8ccfe974dbdb6c0c587c2cd81315b907e8f28,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
5,7,7,9,0.4375,0.5625,-1,0.47416738616628856,0d91a030c4bd0be28c03a86d75b8ccfe974dbdb6c0c587c2cd81315b907e8f28,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
