method,seed,bo_iteration,selected_action_index,selected_action_x,observed_scalar_outcome,incumbent_before_observation,incumbent,noise_free_best_value_observed,simple_regret,t_0_10_status,t_0_10,active_factor_indices,M_t,N,cumulative_factor_use_through_iteration,cumulative_final_active_factor_use,raw_factor_likelihood_evaluation_count,decision_factor_likelihood_evaluation_count,heldout_factor_likelihood_evaluation_count,inference_sample_count,inference_ess,inference_ess_fraction,inference_wall_time_seconds,heldout_full_target_sample_count,heldout_full_target_ess,heldout_full_target_ess_fraction,heldout_full_target_wall_time_seconds,selected_action_acquisition_estimate,structural_bound_at_worst_challenger,empirical_inference_allowance,adaptive_heldout_full_target_acquisition_regret,numerical_accuracy_reliable,config_sha256,starting_git_commit,preference_bank_sha256,scalar_noise_sha256,screened_factor_source,scalar_observation_count
standard,0,1,1,0.0625,0.06065523856522073,0.2497805845436931,0.2497805845436931,0.258984272217597,0.7292511583956854,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.05207245762422279,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,4
standard,0,2,3,0.1875,0.5246475482787409,0.2497805845436931,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.0520712609271517,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,5
standard,0,3,4,0.25,0.5002980364555247,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.015779404783736517,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,6
standard,0,4,5,0.3125,0.18906972650135637,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.015020663590336915,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,7
standard,0,5,6,0.375,-0.010684780871453123,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.00772509472963831,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,8
standard,0,6,15,0.9375,0.003044720181691608,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.0074271378489185365,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,9
full,0,1,3,0.1875,0.5246475482787409,0.2497805845436931,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,8,48,524344,524344,0,65536,65489.54137874895,0.9992910976981957,0.045522459084168077,,,,,0.06514806281114961,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,4
full,0,2,15,0.9375,0.003044720181691608,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,16,48,524344,524344,0,65536,65494.57584470391,0.9993679175522447,0.04099591705016792,,,,,0.010019477656748044,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,5
full,0,3,10,0.625,0.15660596729376428,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,24,48,524344,524344,0,65536,65500.76021172628,0.9994622835041241,0.04015116696245968,,,,,0.009675311777584312,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,6
full,0,4,5,0.3125,0.18906972650135637,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,32,48,524344,524344,0,65536,65507.45346155319,0.9995644143913756,0.03824820788577199,,,,,0.009641877882054397,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,7
full,0,5,12,0.75,0.9953544694200632,0.5246475482787409,0.9953544694200632,0.9882354306132825,0.0,reached,5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,40,48,524344,524344,0,65536,65513.93223074245,0.9996632725638191,0.039386583026498556,,,,,0.009878266583699592,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,8
full,0,6,13,0.8125,0.7059402861962635,0.9953544694200632,0.9953544694200632,0.9882354306132825,0.0,reached,5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,48,48,524344,524344,0,65536,65517.35230315949,0.9997154587274092,0.038944165920838714,,,,,0.00040276222816125495,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,9
adaptive,0,1,3,0.1875,0.5246475482787409,0.2497805845436931,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,7,42,983250,458906,524344,16384,16373.278487060838,0.9993456107825218,0.13738349988125265,65536,65489.86574044627,0.999296047064915,0.04495016601867974,0.06649708696742507,0.0,0.0,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,4
adaptive,0,2,0,0.0,0.002098736133679174,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,14,42,983252,458908,524344,16384,16373.150756947687,0.9993378147551079,0.1679289573803544,65536,65494.21219676951,0.9993623687251207,0.04723874991759658,0.010518383634344824,2.0904185861954237e-05,0.0011263291520166596,9.25303677724431e-05,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,5
adaptive,0,3,10,0.625,0.15660596729376428,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,21,42,983252,458908,524344,16384,16375.187020292627,0.9994620984065324,0.14000354218296707,65536,65502.42068201305,0.9994876202699745,0.040179249830543995,0.0096835855672326,6.903826028672369e-05,0.0010465763334218724,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,6
adaptive,0,4,15,0.9375,0.003044720181691608,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,28,42,983250,458906,524344,16384,16377.213820739918,0.9995858044885204,0.12851520883850753,65536,65509.004628377326,0.9995880833187458,0.03940124996006489,0.009610645862734163,8.678978742122386e-05,0.0010294690355801856,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,7
adaptive,0,5,5,0.3125,0.18906972650135637,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,35,42,983250,458906,524344,16384,16378.75081293206,0.9996796150471228,0.12436612392775714,65536,65513.75687790435,0.999660596891851,0.038905165856704116,0.009381373647721049,2.4862014803777555e-05,0.0012062962657083294,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,8
adaptive,0,6,12,0.75,0.9953544694200632,0.5246475482787409,0.9953544694200632,0.9882354306132825,0.0,reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,42,42,983250,458906,524344,16384,16380.10378154868,0.9997621936980395,0.1240530819632113,65536,65520.253801947314,0.9997597320853777,0.039665790973231196,0.009361983113806349,2.733310171503414e-05,0.001845509038565521,0.00021906121642699915,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,9249a09a439ecf08c6fce04cb547485cd7acdee5abaffdcdfc288d690569f019,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,9
standard,1,1,1,0.0625,0.08429369470254913,0.2558262790720216,0.2558262790720216,0.258984272217597,0.7292511583956854,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.05088257564993116,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,4
standard,1,2,3,0.1875,0.5159708189063935,0.2558262790720216,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.05088169531284139,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,5
standard,1,3,4,0.25,0.5088409045192842,0.5159708189063935,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.016461291546281613,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,6
standard,1,4,5,0.3125,0.20661293096808891,0.5159708189063935,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.016212452329834308,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,7
standard,1,5,6,0.375,-0.011895335081644406,0.5159708189063935,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.008573117001419793,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,8
standard,1,6,15,0.9375,0.0064420507900116945,0.5159708189063935,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.007897218156828024,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,9
full,1,1,15,0.9375,0.0064420507900116945,0.2558262790720216,0.2558262790720216,0.258984272217597,0.7292511583956854,not_reached,6,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,8,48,524344,524344,0,65536,65485.19546714912,0.9992247843498095,0.04505799990147352,,,,,0.06636689661371788,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,4
full,1,2,5,0.3125,0.20661293096808891,0.2558262790720216,0.2558262790720216,0.258984272217597,0.7292511583956854,not_reached,6,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,16,48,524344,524344,0,65536,65492.098213029036,0.9993301118931432,0.04270679200999439,,,,,0.0617165499241721,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,5
full,1,3,4,0.25,0.5088409045192842,0.2558262790720216,0.5088409045192842,0.5017397422557428,0.48649568835753965,not_reached,6,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,24,48,524344,524344,0,65536,65501.42167622811,0.9994723766514299,0.04029895877465606,,,,,0.06243031224721356,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,6
full,1,4,3,0.1875,0.5159708189063935,0.5088409045192842,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,32,48,524344,524344,0,65536,65506.209667558745,0.9995454356011771,0.03980754199437797,,,,,0.012126214742689745,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,7
full,1,5,13,0.8125,0.6884586551441864,0.5159708189063935,0.6884586551441864,0.69338852619193,0.2948469044213524,not_reached,6,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,40,48,524344,524344,0,65536,65509.05625603865,0.9995888710943398,0.040534624829888344,,,,,0.012673018742106332,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,8
full,1,6,12,0.75,0.9933240422968641,0.6884586551441864,0.9933240422968641,0.9882354306132825,0.0,reached,6,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,48,48,524344,524344,0,65536,65513.06384051861,0.9996500219805696,0.03882716689258814,,,,,0.0031181636953212274,0.0,,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,9
