method,seed,bo_iteration,refinement_index,leader_index,worst_challenger_index,active_set_before_refinement,newly_activated_factor,per_factor_contribution_scores,active_acquisition_gap,B_struct,B_infer,stopping_envelope,screening_tolerance,stopping_reason,inference_draws_per_batch,inference_total_draws,inference_ess,inference_ess_fraction,laplace_mode_iterations,laplace_gradient_infinity_norm,comparison_minimum_eigenvalue,comparison_condition_number,raw_factor_likelihood_evaluation_count_cumulative,refinement_wall_time_seconds,numerical_accuracy_reliable,config_sha256
adaptive,0,1,0,1,11,[],5,"[0.061992634331721745, 0.2163755546542322, 7.299695907787684e-05, 0.01777058684831241, 0.06704380407195544, 0.23544365400205877, 0.0670391354198726, 0.017752954060177562]",-0.011774150548762168,0.6834913203474084,0.0029601229190185582,0.6746772927176649,0.05,activate_factor,8192,16384,16383.999999999985,0.9999999999999991,0,0.0,6.382091815800932,1568.7318119518793,0,0.012122999876737595,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,1,5,4,[5],4,"[2.0407984509601607e-06, 7.123086500899019e-06, 2.486201480377756e-05, 0.07974064873606435, 0.3011434280921828, null, 0.0861268494367617, 0.022807662894551786]",-0.008641892943506273,0.48985261505931627,0.0023628141315865043,0.4835735362473965,0.05,activate_factor,8192,16384,16382.082819647465,0.9998829845976236,2,5.78700420916789e-10,6.382091815800932,1568.7318119518793,16389,0.010605290997773409,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,2,5,6,"[4, 5]",6,"[5.83664370549573e-07, 2.037188825266138e-06, 7.1104876692773914e-06, 0.022805669775878952, null, null, 0.30114542121085563, 0.0797477591962552]",-0.01001193027687007,0.4037085815238548,0.0022656355125624623,0.3959622867595472,0.05,activate_factor,8192,16384,16380.387771554742,0.999779527072433,2,4.62676563728337e-11,6.382091815800932,1568.7318119518793,49167,0.010563249932602048,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,3,12,0,"[4, 5, 6]",0,"[0.23411728411155439, 0.061997717423635836, 3.86557129964544e-05, 0.06199492774249234, null, null, null, 0.005054862654320385]",-0.011588578354826785,0.36320344764499934,0.002482083692014184,0.35409695298218674,0.05,activate_factor,8192,16384,16378.562017388946,0.9996680918816495,2,1.05765507463218e-10,6.382091815800932,1568.7318119518793,98334,0.016912874998524785,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,4,0,1,"[0, 4, 5, 6]",1,"[null, 0.2783661489913671, 8.679065727055367e-05, 2.4865854740415734e-05, null, null, null, 1.5381994616194042e-07]",-0.0014469275957039937,0.27847795932332425,0.002489046895896953,0.2795200786235172,0.05,activate_factor,8192,16384,16377.247276898126,0.9995878464903641,2,6.729641288671928e-10,6.382091815800932,1568.7318119518793,163890,0.021490958984941244,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,5,15,3,"[0, 1, 4, 5, 6]",3,"[null, null, 0.00013492450138439022, 0.21639255844335561, null, null, null, 0.0013386023539924054]",-0.009532857385430412,0.21786608529873244,0.0061304882123705134,0.21446371612567255,0.05,activate_factor,8192,16384,16375.513697324235,0.9994820371901999,2,1.0576750586466233e-10,6.382091815800932,1568.7318119518793,245835,0.01469062501564622,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,6,3,9,"[0, 1, 3, 4, 5, 6]",7,"[null, null, 6.787945567973375e-05, null, null, null, null, 0.21773104042750788]",-0.025438036525071588,0.2177989198831876,0.00255155991741516,0.1949124432755312,0.05,activate_factor,8192,16384,16374.915201870259,0.9994455079266515,2,1.365166868438905e-10,6.382091815800932,1568.7318119518793,344169,0.018930999794974923,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,7,3,3,"[0, 1, 3, 4, 5, 6, 7]",,"[null, null, 0.0, null, null, null, null, null]",0.0,0.0,0.0,0.0,0.05,screening_tolerance,8192,16384,16373.278487060838,0.9993456107825218,3,4.976569286871402e-14,6.382091815800932,1568.7318119518793,458906,0.014614416984841228,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,2,0,4,5,[],5,"[2.0407984509601607e-06, 7.123086500899019e-06, 2.486201480377756e-05, 0.07974064873606435, 0.3011434280921828, 0.3024803349875133, 0.0861268494367617, 0.022807662894551786]",-0.006160358482490617,0.7923329500468295,0.001105682866183984,0.7872782744305228,0.05,activate_factor,8192,16384,16383.999999999985,0.9999999999999991,0,0.0,6.382091815800932,1568.7318119518793,0,0.013725332915782928,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,2,1,4,6,[5],6,"[1.7158486661350243e-06, 5.988900307907438e-06, 2.0903316012624417e-05, 0.06704380126619387, 0.2531933269374243, null, 0.25319490281050433, 0.06704975309889744]",-0.009575798183403558,0.6405103921780068,0.0012433979565534363,0.6321779919511566,0.05,activate_factor,8192,16384,16382.247159103026,0.9998930150819718,3,2.7228219678931964e-13,6.382091815800932,1568.7318119518793,16391,0.015184707939624786,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
