method,seed,bo_iteration,refinement_index,leader_index,worst_challenger_index,active_set_before_refinement,newly_activated_factor,per_factor_contribution_scores,active_acquisition_gap,B_struct,B_infer,stopping_envelope,screening_tolerance,stopping_reason,inference_draws_per_batch,inference_total_draws,inference_ess,inference_ess_fraction,laplace_mode_iterations,laplace_gradient_infinity_norm,comparison_minimum_eigenvalue,comparison_condition_number,raw_factor_likelihood_evaluation_count_cumulative,refinement_wall_time_seconds,numerical_accuracy_reliable,config_sha256
adaptive,0,1,0,3,5,[],5,"[5.991936380390666e-06, 2.091391294684128e-05, 7.299672876694393e-05, 0.23412448884079265, 0.12902765678615333, 0.2531933269374243, 0.07209309507156071, 0.019091317285724375]",-0.010390101468241191,0.7076297874997495,0.0067103678737441864,0.7039500539052524,0.05,activate_factor,1024,2048,2048.0,1.0,0,0.0,6.382091815800932,1568.7318119518793,0,0.0026572910137474537,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,1,5,4,[5],4,"[2.0407984509601607e-06, 7.123086500899019e-06, 2.486201480377756e-05, 0.07974064873606435, 0.3011434280921828, null, 0.0861268494367617, 0.022807662894551786]",-0.009843561184472154,0.48985261505931627,0.00976263271564409,0.4897716865904882,0.05,activate_factor,512,1024,1023.8114221368191,0.9998158419304874,2,5.78700420916789e-10,6.382091815800932,1568.7318119518793,1029,0.0011871671304106712,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,2,5,6,"[4, 5]",6,"[5.83664370549573e-07, 2.037188825266138e-06, 7.1104876692773914e-06, 0.022805669775878952, null, null, 0.30114542121085563, 0.0797477591962552]",-0.013367516020561028,0.4037085815238548,0.009497404180090766,0.39983846968338455,0.05,activate_factor,512,1024,1023.7511522814204,0.9997569846498247,2,4.62676563728337e-11,6.382091815800932,1568.7318119518793,3087,0.0011600421275943518,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,3,1,16,"[4, 5, 6]",0,"[0.29610787764482516, 0.2783661489913671, 8.679065727055367e-05, 2.4865854740415734e-05, null, null, null, 1.5381994616194042e-07]",-0.012227610891672578,0.5745858369681494,0.009921889957727413,0.5722801160342041,0.05,activate_factor,512,1024,1023.5205193699361,0.9995317571972032,2,1.05765507463218e-10,6.382091815800932,1568.7318119518793,6174,0.0013165830168873072,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,4,0,1,"[0, 4, 5, 6]",1,"[null, 0.2783661489913671, 8.679065727055367e-05, 2.4865854740415734e-05, null, null, null, 1.5381994616194042e-07]",-0.0031125985554594114,0.27847795932332425,0.008633553194830473,0.28399891396269533,0.05,activate_factor,2048,4096,4094.4255910592865,0.9996156228172086,2,6.729641288671928e-10,6.382091815800932,1568.7318119518793,22578,0.004288417054340243,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,5,15,13,"[0, 1, 4, 5, 6]",3,"[null, null, 0.00013492450138439022, 0.21639255844335561, null, null, null, 0.0013386023539924054]",-0.0061247525104053974,0.21786608529873244,0.007427603231881349,0.2191689360202084,0.05,activate_factor,1024,2048,2046.8923147905734,0.9994591380813347,2,1.0576750586466233e-10,6.382091815800932,1568.7318119518793,32843,0.0023194998502731323,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,6,3,9,"[0, 1, 3, 4, 5, 6]",7,"[null, null, 6.787945567973375e-05, null, null, null, null, 0.21773104042750788]",-0.02116035682790765,0.2177989198831876,0.009973128183949156,0.20661169123922912,0.05,activate_factor,512,1024,1023.4453375343476,0.9994583374358863,2,1.365166868438905e-10,6.382091815800932,1568.7318119518793,39017,0.0012006668839603662,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,1,7,3,3,"[0, 1, 3, 4, 5, 6, 7]",,"[null, null, 0.0, null, null, null, null, null]",0.0,0.0,0.0,0.0,0.05,screening_tolerance,1024,2048,2046.8144342571318,0.9994211104771151,3,4.976569286871402e-14,6.382091815800932,1568.7318119518793,53402,0.002465458819642663,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,2,0,4,5,[],5,"[2.0407984509601607e-06, 7.123086500899019e-06, 2.486201480377756e-05, 0.07974064873606435, 0.3011434280921828, 0.3024803349875133, 0.0861268494367617, 0.022807662894551786]",-0.005525307108856387,0.7923329500468295,0.004562535128382954,0.791370178066356,0.05,activate_factor,512,1024,1024.0,1.0,0,0.0,6.382091815800932,1568.7318119518793,0,0.0010572918690741062,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
adaptive,0,2,1,4,6,[5],6,"[1.7158486661350243e-06, 5.988900307907438e-06, 2.0903316012624417e-05, 0.06704380126619387, 0.2531933269374243, null, 0.25319490281050433, 0.06704975309889744]",-0.012064273817548942,0.6405103921780068,0.004931628731685568,0.6333777470921433,0.05,activate_factor,512,1024,1023.9216899114614,0.9999235253041615,3,2.7228219678931964e-13,6.382091815800932,1568.7318119518793,1031,0.0014648749493062496,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
