seed,factor_index,left_action_index,right_action_index,left_x,right_x,protocol,left_graph_degree,right_graph_degree,preference_sign,positive_sign_probability,preference_bank_sha256,generated_before_methods,config_sha256
0,0,0,1,0.0,0.0625,local,3,3,1,0.4716545287672379,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,1,2,3,0.125,0.1875,local,3,3,-1,0.3920970569425835,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,2,4,5,0.25,0.3125,local,3,3,-1,0.6225810634370452,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,3,6,7,0.375,0.4375,local,3,3,1,0.5130235628134802,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,4,9,10,0.5625,0.625,local,3,3,1,0.4511911689849016,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,5,11,12,0.6875,0.75,local,3,3,1,0.3306663169758762,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,6,13,14,0.8125,0.875,local,3,3,-1,0.7055493115307576,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,7,15,16,0.9375,1.0,local,3,3,-1,0.4977699723841603,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,8,0,4,0.0,0.25,medium_range,3,3,-1,0.3037155945061389,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,9,1,5,0.0625,0.3125,medium_range,3,3,-1,0.44629673420534133,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,10,2,6,0.125,0.375,medium_range,3,3,1,0.6033218626433348,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,11,3,7,0.1875,0.4375,medium_range,3,3,1,0.7129873687319906,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,12,9,13,0.5625,0.8125,medium_range,3,3,-1,0.2512388062766045,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,13,10,14,0.625,0.875,medium_range,3,3,-1,0.4944272218475337,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,14,11,15,0.6875,0.9375,medium_range,3,3,1,0.7209100974919741,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
0,15,12,16,0.75,1.0,medium_range,3,3,1,0.838245770849793,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
