method,seed,bo_iteration,selected_action_index,selected_action_x,observed_scalar_outcome,incumbent_before_observation,incumbent,noise_free_best_value_observed,simple_regret,t_0_10_status,t_0_10,active_factor_indices,M_t,N,active_factor_fraction,cumulative_factor_use_through_iteration,cumulative_final_active_factor_use,cumulative_factor_ratio_through_iteration,R_factors,raw_factor_likelihood_evaluation_count,decision_factor_likelihood_evaluation_count,heldout_factor_likelihood_evaluation_count,inference_sample_count,inference_ess,inference_ess_fraction,inference_wall_time_seconds,laplace_converged,laplace_mode_iterations,laplace_gradient_infinity_norm,maximum_split_half_ei_discrepancy,heldout_full_target_sample_count,heldout_full_target_ess,heldout_full_target_ess_fraction,heldout_full_target_wall_time_seconds,heldout_laplace_converged,heldout_laplace_mode_iterations,heldout_laplace_gradient_infinity_norm,heldout_maximum_split_half_ei_discrepancy,selected_action_acquisition_estimate,structural_bound_at_worst_challenger,empirical_inference_allowance,adaptive_heldout_full_target_acquisition_regret,numerical_accuracy_reliable,config_sha256,starting_git_commit,preference_bank_sha256,scalar_noise_sha256,screened_factor_source,scalar_observation_count
standard,0,1,1,0.0625,0.06065523856522073,0.2497805845436931,0.2497805845436931,0.258984272217597,0.7292511583956854,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.05207245762422279,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,4
standard,0,2,3,0.1875,0.5246475482787409,0.2497805845436931,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.0520712609271517,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,5
standard,0,3,4,0.25,0.5002980364555247,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.015779404783736517,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,6
standard,0,4,5,0.3125,0.18906972650135637,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.015020663590336915,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,7
standard,0,5,6,0.375,-0.010684780871453123,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.00772509472963831,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,8
standard,0,6,15,0.9375,0.003044720181691608,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.0074271378489185365,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,9
full,0,1,3,0.1875,0.5246475482787409,0.2497805845436931,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,24,144,1.0,1.0,1573032,1573032,0,65536,65394.26978946434,0.9978373686136527,0.06458466686308384,True,3,1.3034018309099338e-13,0.0014800875802380153,,,,,,,,,0.11523256051904898,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,4
full,0,2,5,0.3125,0.18906972650135637,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,48,144,1.0,1.0,1573032,1573032,0,65536,65419.9719241117,0.9982295520646927,0.05697325011715293,True,3,5.484501741648273e-13,0.000474045982487431,,,,,,,,,0.02063786029598099,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,5
full,0,3,12,0.75,0.9953544694200632,0.5246475482787409,0.9953544694200632,0.9882354306132825,0.0,reached,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,72,144,1.0,1.0,1573032,1573032,0,65536,65441.142261884226,0.9985525857831455,0.053950291126966476,True,3,1.532107773982716e-13,0.00041531667218037104,,,,,,,,,0.008969750202962439,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,6
full,0,4,11,0.6875,0.5551402452511168,0.9953544694200632,0.9953544694200632,0.9882354306132825,0.0,reached,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,96,144,1.0,1.0,1573032,1573032,0,65536,65454.39052310392,0.9987547382065417,0.05342183308675885,True,3,5.390132784555135e-13,9.355663216878982e-05,,,,,,,,,0.0008820581401419782,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,7
