method,seed,bo_iteration,refinement_index,leader_index,worst_challenger_index,active_set_before_refinement,newly_activated_factor,per_factor_contribution_scores,active_acquisition_gap,B_struct,B_infer,stopping_envelope,screening_tolerance,stopping_reason,inference_draws_per_batch,inference_total_draws,inference_ess,inference_ess_fraction,laplace_mode_iterations,laplace_gradient_infinity_norm,comparison_minimum_eigenvalue,comparison_condition_number,raw_factor_likelihood_evaluation_count_cumulative,refinement_wall_time_seconds,numerical_accuracy_reliable,config_sha256
adaptive,0,1,0,1,11,[],5,"[0.22371462426448563, 0.006471711300256724, 0.04847817786998929, 0.01865498639653402, 0.0738674800525805, 0.2457915227336502, 0.018864378823059812, 0.042810586753026666, 0.07842607213469767, 0.19376672999977726, 0.013008063542432365, 0.012118634154358378, 0.03800215578275946, 0.054729703092880846, 0.20612473654236135, 0.08247737294431552, 0.07673163498822481, 0.18979357602928748, 7.34962594554675e-05, 0.02526259386386107, 0.08417181009078839, 0.21009789051285113, 0.06766427037585775, 0.024858196073256764]",-0.011774150548762168,2.0359604045807482,0.0029601229190185582,2.0271463769510047,0.05,activate_factor,8192,16384,16383.999999999985,0.9999999999999991,0,0.0,4.814282949946758,2079.7459428009256,0,0.010345707880333066,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,1,1,5,[5],9,"[0.24164991017498522, 0.020628257016246807, 0.26345523912966873, 0.07800202458246068, 0.014520441866653827, null, 0.0047078331070697236, 0.024875300842527034, 0.1386018442922619, 0.36650330501239203, 0.05787057704484438, 0.040759704553863116, 0.00936108538325471, 0.00986718959046884, 0.03338816152974656, 0.022301600786751252, 0.07673163498822479, 0.18979357602928745, 7.34962594554675e-05, 0.025262593863861062, 0.08417181009078838, 0.2100978905128511, 0.06766427037585775, 0.02485819607325676]",-0.01302997958711034,2.0051459431067773,0.0024360870656122114,1.9945520505852792,0.05,activate_factor,8192,16384,16383.424991413607,0.9999649042610844,2,1.8383516930953192e-11,4.814282949946758,2079.7459428009256,16389,0.011237541912123561,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,2,5,4,"[5, 9]",2,"[0.04533539750190088, 0.06587148496744755, 0.4812780676212155, 0.10201668742421494, 0.020213967071643957, null, 0.011142252867392738, 0.00903541128435546, 0.26315822599344774, null, 0.07387762669026207, 0.09401054570140041, 0.01783032772687719, 0.013525892212159505, 0.03081446147397077, 0.030580188106643827, 0.027970699231943476, 0.026400109554312864, 4.3627899287064975e-05, 0.07697010993555323, 0.26576771486814804, 0.2678695910493266, 0.08735989100313452, 0.034870763492724374]",-0.009648584547508013,2.045943043677363,0.002440849113712966,2.038735308243568,0.05,activate_factor,8192,16384,16381.785191962665,0.9998648188453775,2,3.341460441674826e-11,4.814282949946758,2079.7459428009256,49167,0.011665582889690995,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,3,5,10,"[2, 5, 9]",21,"[0.024299759640938605, 0.020446679012681344, null, 0.09631671989913612, 0.245946749852342, null, 0.012914827323313574, 0.011403563123847636, 0.07796507475065616, null, 0.06911052058805714, 0.04765287832376033, 0.0748274893801324, 0.1840340877955232, 0.07648480381190491, 0.03520556917788235, 0.014603981489610972, 0.02109934127517527, 3.683740240634016e-05, 0.033324668933588576, 0.09856666243892753, 0.25666281961353354, 0.253107770981174, 0.08915569877030415]",-0.029478686498203163,1.7431665035848962,0.0027535936172958545,1.716441410703989,0.05,activate_factor,8192,16384,16381.063299024787,0.9998207579971183,2,2.5229895950218406e-10,4.814282949946758,2079.7459428009256,98334,0.01193358306773007,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,4,5,10,"[2, 5, 9, 21]",22,"[0.024299759640938605, 0.020446679012681344, null, 0.09631671989913612, 0.245946749852342, null, 0.012914827323313574, 0.011403563123847636, 0.07796507475065616, null, 0.06911052058805714, 0.04765287832376033, 0.0748274893801324, 0.1840340877955232, 0.07648480381190491, 0.03520556917788235, 0.014603981489610972, 0.02109934127517527, 3.683740240634016e-05, 0.033324668933588576, 0.09856666243892753, null, 0.253107770981174, 0.08915569877030415]",-0.054672671505657716,1.4865036839713626,0.002882162587279267,1.434713175052984,0.05,activate_factor,8192,16384,16377.753809089336,0.9996187627618003,3,8.423817199343375e-14,4.814282949946758,2079.7459428009256,163898,0.011875916039571166,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,5,5,16,"[2, 5, 9, 21, 22]",7,"[0.04468473080872261, 0.019123027217667347, null, 0.07360284781806806, 0.01696279230414742, null, 0.007978545835587261, 0.23713813567283057, 0.08919024184280233, null, 0.05453252638679389, 0.03819334864894151, 0.013308979195861466, 0.011632358943873213, 0.08524449567544433, 0.20164338941894505, 0.20013562637343588, 0.08168724010811729, 4.0369620481158355e-05, 0.02706120343277345, 0.09069800488831148, null, null, 0.02444112441202952]",-0.04542706269689518,1.3172989886048339,0.0029070369029975678,1.2747789628109363,0.05,activate_factor,8192,16384,16376.335733052505,0.9995322102693179,3,5.959122084675528e-14,4.814282949946758,2079.7459428009256,245853,0.011679749935865402,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,6,5,10,"[2, 5, 7, 9, 21, 22]",4,"[0.024299759640938605, 0.020446679012681344, null, 0.09631671989913612, 0.245946749852342, null, 0.012914827323313574, null, 0.07796507475065616, null, 0.06911052058805714, 0.04765287832376033, 0.0748274893801324, 0.1840340877955232, 0.07648480381190491, 0.03520556917788235, 0.014603981489610972, 0.02109934127517527, 3.683740240634016e-05, 0.033324668933588576, 0.09856666243892753, null, null, 0.08915569877030415]",-0.03228523862439589,1.221992349866341,0.0029910733196071046,1.1926981845615523,0.05,activate_factor,8192,16384,16375.626255765666,0.9994889072122599,3,6.436517985264345e-14,4.814282949946758,2079.7459428009256,344199,0.01586720789782703,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,7,5,0,"[2, 4, 5, 7, 9, 21, 22]",8,"[0.25507342158333024, 0.02213509155157734, null, 0.07630983049007409, null, null, 0.0049664815016772675, null, 0.2618191615765093, null, 0.05649487244628523, 0.041950049595366204, 0.009552278249436767, 0.009670012884381879, 0.0288484548130168, 0.029014469685238086, 0.2001356263734359, 0.08168724010811729, 4.036962048115834e-05, 0.027061203432773448, 0.0906980048883115, null, null, 0.024441124412029523]",-0.04578807007238593,1.219897693212042,0.008015268456105992,1.182124891595762,0.05,activate_factor,8192,16384,16375.2227278661,0.9994642778238586,3,8.995582057025331e-14,4.814282949946758,2079.7459428009256,458936,0.012423750013113022,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,8,5,7,"[2, 4, 5, 7, 8, 9, 21, 22]",3,"[0.02508738924138451, 0.03033792403241195, null, 0.2916345641489253, null, null, 0.00612947306928476, null, null, null, 0.11143566588876284, 0.21053682229257442, 0.022736424404244074, 0.017360034941132623, 0.023340975302701013, 0.015149576154155395, 0.01253218899133604, 0.017904865772455782, 2.840325970982469e-05, 0.036438993841986886, 0.0856891337283989, null, null, 0.1968342528548316]",-0.05965366195198189,1.1031766879242957,0.004230267395164848,1.0477532933674787,0.05,activate_factor,8192,16384,16372.637044512763,0.9993064602363747,3,9.9253938401489e-14,4.814282949946758,2079.7459428009256,590064,0.012119082966819406,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,9,5,12,"[2, 3, 4, 5, 7, 8, 9, 21, 22]",20,"[0.026970697194855085, 0.02529879858338282, null, null, null, null, 0.0517149392514575, null, null, null, 0.058388405714571524, 0.04647139812638193, 0.0653694753018957, 0.029015113187850064, 0.09071866411705395, 0.2029824538358835, 0.02797069923194349, 0.02640010955431287, 4.362789928706499e-05, 0.07697010993555325, 0.2657677148681481, null, null, 0.034870763492724374]",-0.072248281296862,1.0289529702953013,0.0028371687276947544,0.9595418577261341,0.05,activate_factor,8192,16384,16371.172691152844,0.9992170832002468,3,9.822698210371072e-14,4.814282949946758,2079.7459428009256,737583,0.012491624802350998,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
