method,seed,bo_iteration,refinement_index,leader_index,worst_challenger_index,active_set_before_refinement,newly_activated_factor,per_factor_contribution_scores,active_acquisition_gap,B_struct,B_infer,stopping_envelope,screening_tolerance,stopping_reason,inference_draws_per_batch,inference_total_draws,inference_ess,inference_ess_fraction,laplace_mode_iterations,laplace_gradient_infinity_norm,comparison_minimum_eigenvalue,comparison_condition_number,raw_factor_likelihood_evaluation_count_cumulative,refinement_wall_time_seconds,numerical_accuracy_reliable,config_sha256
adaptive,0,1,0,3,5,[],2,"[0.028766906495455474, 0.1736323124538237, 0.30725772940280455, 0.09340097630769992, 0.017399468863977537, 0.03758197158207529, 0.01518830904784066, 0.006119808675905072, 0.12404557710233788, 0.21197905879592213, 0.06263021893808254, 0.20440306982344109, 0.021486161022988937, 0.011101616888829258, 0.023381425580790014, 0.020320354677190348, 0.015864859810190222, 0.019021855361170324, 8.297629533147984e-05, 0.1887376452063329, 0.128501071969338, 0.21633862901554182, 0.07364885953158032, 0.03715158564009712]",-0.010390101468241191,2.0380424484887465,0.0067103678737441864,2.0343627148942494,0.05,activate_factor,1024,2048,2048.0,1.0,0,0.0,4.814282949946758,2079.7459428009256,0,0.002850667107850313,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,1,5,11,[2],21,"[0.026914624482153204, 0.022193609285628975, null, 0.08538848900352916, 0.08538848900352915, 0.2678695910493266, 0.02219360928562898, 0.02691462448215321, 0.08468632501862872, 0.2100978905128511, 0.06251779988362072, 0.04506429840553742, 0.04506429840553742, 0.0625177998836207, 0.21009789051285113, 0.08468632501862873, 0.021959019362260718, 0.031870229602045705, 3.5511963830778114e-05, 0.04435170660742717, 0.14741363067499672, 0.38832555142365655, 0.12500008780341065, 0.04577689020364766]",-0.020382468356238265,2.146328291874501,0.009432759277169977,2.1353785827954326,0.05,activate_factor,512,1024,1023.9639908729757,0.9999648348368904,2,1.1883494188680288e-11,4.814282949946758,2079.7459428009256,1029,0.0012063330505043268,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,2,5,12,"[2, 21]",5,"[0.026970697194855085, 0.02529879858338282, null, 0.07956100525757064, 0.04266964923828826, 0.2663010063615362, 0.0517149392514575, 0.027400111591401276, 0.0907559602642081, 0.20355103648658557, 0.058388405714571524, 0.04647139812638193, 0.0653694753018957, 0.029015113187850064, 0.09071866411705395, 0.2029824538358835, 0.02797069923194349, 0.02640010955431287, 4.362789928706499e-05, 0.07697010993555325, 0.2657677148681481, null, 0.08735989100313452, 0.034870763492724374]",-0.03762441246536444,1.8265516304980258,0.007775919214747123,1.7967031372474085,0.05,activate_factor,1024,2048,2047.6402100285297,0.999824321302993,3,1.0041620313039346e-13,4.814282949946758,2079.7459428009256,5139,0.002525040879845619,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,3,5,6,"[2, 5, 21]",3,"[0.02933884903434726, 0.02707137303930365, null, 0.3052937880382687, 0.03696968171320945, null, 0.006290133296691265, 0.006364473730438986, 0.0953813413354466, 0.24922137882451975, 0.2288966012979352, 0.10346855977963713, 0.019011807924255587, 0.02424800708564513, 0.028540782064189134, 0.017789302593091916, 0.014603981489610972, 0.021099341275175276, 3.683740240634017e-05, 0.033324668933588576, 0.09856666243892753, null, 0.253107770981174, 0.08915569877030415]",-0.022568111550041684,1.6877810410481666,0.008768822846828686,1.6739817523449536,0.05,activate_factor,1024,2048,2047.3919145650134,0.999703083283698,3,5.101474798152594e-14,4.814282949946758,2079.7459428009256,11304,0.0026247920468449593,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,4,5,10,"[2, 3, 5, 21]",22,"[0.024299759640938605, 0.020446679012681344, null, null, 0.245946749852342, null, 0.012914827323313574, 0.011403563123847636, 0.07796507475065616, 0.2012773570768039, 0.06911052058805714, 0.04765287832376033, 0.0748274893801324, 0.1840340877955232, 0.07648480381190491, 0.03520556917788235, 0.014603981489610972, 0.02109934127517527, 3.683740240634016e-05, 0.033324668933588576, 0.09856666243892753, null, 0.253107770981174, 0.08915569877030415]",-0.03178393985618843,1.5914643211490307,0.00977671436812519,1.5694570956609675,0.05,activate_factor,512,1024,1023.8482747235672,0.9998518307847336,3,1.482147737874584e-14,4.814282949946758,2079.7459428009256,15428,0.0013052078429609537,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,5,5,0,"[2, 3, 5, 21, 22]",8,"[0.25507342158333024, 0.02213509155157734, null, null, 0.014255809632141379, null, 0.0049664815016772675, 0.026749444898222997, 0.2618191615765093, 0.25798107068805914, 0.05649487244628523, 0.041950049595366204, 0.009552278249436767, 0.009670012884381879, 0.0288484548130168, 0.029014469685238086, 0.2001356263734359, 0.08168724010811729, 4.036962048115834e-05, 0.027061203432773448, 0.0906980048883115, null, null, 0.024441124412029523]",-0.027063141964506984,1.4425741879403913,0.005507851699266343,1.4210188976751505,0.05,activate_factor,2048,4096,4094.6941775035566,0.9996811956795792,2,5.706614070177807e-10,4.814282949946758,2079.7459428009256,35933,0.006060041021555662,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,6,5,16,"[2, 3, 5, 8, 21, 22]",7,"[0.04468473080872261, 0.019123027217667347, null, null, 0.01696279230414742, null, 0.007978545835587261, 0.23713813567283057, null, 0.20158502982563162, 0.05453252638679389, 0.03819334864894151, 0.013308979195861466, 0.011632358943873213, 0.08524449567544433, 0.20164338941894505, 0.20013562637343588, 0.08168724010811729, 4.0369620481158355e-05, 0.02706120343277345, 0.09069800488831148, null, null, 0.02444112441202952]",-0.0363208906048768,1.356090928769595,0.007885439985673745,1.327655478150392,0.05,activate_factor,1024,2048,2047.2305567402864,0.999624295283343,2,4.977043221998656e-10,4.814282949946758,2079.7459428009256,48251,0.0027918750420212746,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,7,5,10,"[2, 3, 5, 7, 8, 21, 22]",4,"[0.024299759640938605, 0.020446679012681344, null, null, 0.245946749852342, null, 0.012914827323313574, null, null, 0.2012773570768039, 0.06911052058805714, 0.04765287832376033, 0.0748274893801324, 0.1840340877955232, 0.07648480381190491, 0.03520556917788235, 0.014603981489610972, 0.02109934127517527, 3.683740240634016e-05, 0.033324668933588576, 0.09856666243892753, null, null, 0.08915569877030415]",-0.019942069228128426,1.2489879122933525,0.008324826162897437,1.2373706692281214,0.05,activate_factor,1024,2048,2047.1099380578146,0.9995653994422923,2,4.977112055826183e-10,4.814282949946758,2079.7459428009256,62622,0.002727250102907419,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,8,5,1,"[2, 3, 4, 5, 7, 8, 21, 22]",9,"[0.24164991017498522, 0.020628257016246807, null, null, null, null, 0.0047078331070697236, null, null, 0.36650330501239203, 0.05787057704484438, 0.040759704553863116, 0.00936108538325471, 0.00986718959046884, 0.03338816152974656, 0.022301600786751252, 0.07673163498822479, 0.18979357602928745, 7.34962594554675e-05, 0.025262593863861062, 0.08417181009078838, null, null, 0.02485819607325676]",-0.023840467945616877,1.2079289315044965,0.00864318887783936,1.192731652436719,0.05,activate_factor,2048,4096,4093.671393651964,0.9994314925908115,2,8.811456009283347e-10,4.814282949946758,2079.7459428009256,95430,0.004713041940703988,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
adaptive,0,1,9,5,12,"[2, 3, 4, 5, 7, 8, 9, 21, 22]",20,"[0.026970697194855085, 0.02529879858338282, null, null, null, null, 0.0517149392514575, null, null, null, 0.058388405714571524, 0.04647139812638193, 0.0653694753018957, 0.029015113187850064, 0.09071866411705395, 0.2029824538358835, 0.02797069923194349, 0.02640010955431287, 4.362789928706499e-05, 0.07697010993555325, 0.2657677148681481, null, null, 0.034870763492724374]",-0.07668886603604086,1.0289529702953013,0.007668081764615919,0.9599321860238763,0.05,activate_factor,2048,4096,4092.69432803944,0.9991929511815039,3,9.822698210371072e-14,4.814282949946758,2079.7459428009256,132357,0.005435500061139464,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260
