x,ei,log_ei,second_improvement_moment,chi_square,ess_fraction,smooth_acquisition,smooth_second_moment
-2.0,1.6173802655089792e-05,-11.032117744732103,2.351003466641366e-06,8986.294849770797,0.00011126818655843956,1.65320018550643e-05,2.355540465961715e-06
-1.99,1.6173803484154287e-05,-11.03211769347239,2.3510034772397694e-06,8986.293968913571,0.00011126819746398981,1.6532082878349264e-05,2.3555405059974978e-06
-1.98,1.6173804433870884e-05,-11.032117634752957,2.351003489409254e-06,8986.29295997689,0.00011126820995524456,1.653217261861725e-05,2.355540551582073e-06
-1.97,1.6173805525354545e-05,-11.032117567268301,2.3510035034298677e-06,8986.29180056549,0.00011126822430947206,1.6532272218418668e-05,2.3555406036433543e-06
-1.96,1.617380678397826e-05,-11.032117489449654,2.35100351963918e-06,8986.290463771911,0.00011126824085980482,1.6532382996538384e-05,2.355540663288667e-06
-1.95,1.6173808240333394e-05,-11.032117399405605,2.351003538445498e-06,8986.288917159765,0.0001112682600078276,1.6532506478847523e-05,2.3555407318436404e-06
-1.94,1.617380993142758e-05,-11.032117294848033,2.3510035603444182e-06,8986.287121495758,0.00011126828223927597,1.6532644435139634e-05,2.3555408109003576e-06
-1.93,1.6173811902183667e-05,-11.032117172999442,2.3510035859396173e-06,8986.285029163357,0.00011126830814367662,1.6532798923216354e-05,2.3555409023771597e-06
-1.92,1.6173814207321386e-05,-11.032117030476604,2.351003615969066e-06,8986.28258217187,0.00011126833843899671,1.6532972341775503e-05,2.3555410085931452e-06
-1.91,1.6173816913727096e-05,-11.03211686314406,2.351003651338177e-06,8986.279709649625,0.0001112683740026809,1.6533167494011854e-05,2.35554113236127e-06
-1.9,1.6173820103447818e-05,-11.032116665928992,2.3510036931618733e-06,8986.276324677487,0.00011126841591085555,1.6533387664285814e-05,2.3555412771050493e-06
-1.89,1.6173823877486286e-05,-11.03211643258659,2.3510037428181604e-06,8986.272320276177,0.0001112684654880103,1.6533636710769977e-05,2.3555414470053056e-06
-1.88,1.6173828360626955e-05,-11.032116155401672,2.351003802016568e-06,8986.267564304775,0.00011126852437016063,1.6533919177676954e-05,2.3555416471852738e-06
-1.87,1.6173833707592843e-05,-11.032115824808018,2.3510038728859017e-06,8986.2618929541,0.00011126859458540841,1.6534240431540218e-05,2.3555418839448235e-06
-1.8599999999999999,1.617384011092567e-05,-11.032115428901168,2.351003958087125e-06,8986.255102421157,0.0001112686786570241,1.653460682710899e-05,2.3555421650577593e-06
-1.85,1.6173847811104106e-05,-11.032114952812835,2.35100406095907e-06,8986.246938221973,0.00011126877973577065,1.65350259097879e-05,2.3555425001503667e-06
-1.84,1.617385710957743e-05,-11.032114377905073,2.351004185707153e-06,8986.237081429192,0.00011126890177030641,1.653550666327681e-05,2.35554290118491e-06
-1.83,1.6173868385608023e-05,-11.032113680728969,2.3510043376486273e-06,8986.225130893401,0.00011126904972732024,1.6536059813242604e-05,2.3555433830790926e-06
-1.82,1.6173882118104394e-05,-11.032112831674791,2.351004523532363e-06,8986.210580204031,0.00011126922987680762,1.6536698200605478e-05,2.355543964502164e-06
-1.81,1.6173898914011592e-05,-11.032111793216716,2.351004751957198e-06,8986.192787740922,0.00011126945016290971,1.653743724150518e-05,2.355544668901165e-06
-1.8,1.6173919545341922e-05,-11.032110517623412,2.351005033921043e-06,8986.170937625535,0.00011126972068745429,1.6538295495429432e-05,2.355545525827836e-06
-1.79,1.6173944997621478e-05,-11.032108943962836,2.351005383543945e-06,8986.14398865376,0.00011127005434234689,1.653929536859685e-05,2.3555465726593894e-06
-1.78,1.6173976533459645e-05,-11.032106994172144,2.3510058190232655e-06,8986.110607314788,0.00011127046763907415,1.6540463986822546e-05,2.3555478568366052e-06
-1.77,1.6174015776203973e-05,-11.032104567885902,2.3510063638994464e-06,8986.06907968466,0.00011127098179989603,1.6541834281183535e-05,2.3555494387831486e-06
-1.76,1.6174064820337345e-05,-11.032101535611192,2.3510070487385096e-06,8986.017195207929,0.00011127162419731672,1.654344634139195e-05,2.3555513957242093e-06
-1.75,1.6174126377565213e-05,-11.032097729696511,2.3510079133752007e-06,8985.952092983203,0.0001112724302581713,1.6545349106582603e-05,2.355553826695216e-06
-1.74,1.6174203970642566e-05,-11.032092932349848,2.3510090099123112e-06,8985.870057925089,0.00011127344598892337,1.654760248213282e-05,2.355556859129086e-06
-1.73,1.6174302191195493e-05,-11.032086859701396,2.3510104067424153e-06,8985.766249783108,0.00011127473133332412,1.655027999532182e-05,2.3555606575418934e-06
-1.72,1.617442704349939e-05,-11.032079140554039,2.3510121939552114e-06,8985.634342045623,0.00011127636464758734,1.65534721335962e-05,2.3555654350139447e-06
