method,utility,sample_count,repetitions,ranking_accuracy,exact_a,exact_b
iid,raw,32,10000,0.1485,0.02778847677893248,0.03500000000162306
iid,smooth,32,10000,0.1485,0.029160527311183893,0.03500000047716969
qmc,raw,32,1024,0.1513671875,0.02778847677893248,0.03500000000162306
qmc,smooth,32,1024,0.1513671875,0.029160527311183893,0.03500000047716969
iid,raw,64,10000,0.2718,0.02778847677893248,0.03500000000162306
iid,smooth,64,10000,0.2718,0.029160527311183893,0.03500000047716969
qmc,raw,64,1024,0.3076171875,0.02778847677893248,0.03500000000162306
qmc,smooth,64,1024,0.3076171875,0.029160527311183893,0.03500000047716969
iid,raw,128,10000,0.4706,0.02778847677893248,0.03500000000162306
iid,smooth,128,10000,0.4706,0.029160527311183893,0.03500000047716969
qmc,raw,128,1024,0.64453125,0.02778847677893248,0.03500000000162306
qmc,smooth,128,1024,0.64453125,0.029160527311183893,0.03500000047716969
iid,raw,256,10000,0.5119,0.02778847677893248,0.03500000000162306
iid,smooth,256,10000,0.4262,0.029160527311183893,0.03500000047716969
qmc,raw,256,1024,0.48828125,0.02778847677893248,0.03500000000162306
qmc,smooth,256,1024,0.2783203125,0.029160527311183893,0.03500000047716969
iid,raw,512,10000,0.5627,0.02778847677893248,0.03500000000162306
iid,smooth,512,10000,0.4899,0.029160527311183893,0.03500000047716969
qmc,raw,512,1024,0.5947265625,0.02778847677893248,0.03500000000162306
qmc,smooth,512,1024,0.548828125,0.029160527311183893,0.03500000047716969
iid,raw,1024,10000,0.6345,0.02778847677893248,0.03500000000162306
iid,smooth,1024,10000,0.5819,0.029160527311183893,0.03500000047716969
qmc,raw,1024,1024,1.0,0.02778847677893248,0.03500000000162306
qmc,smooth,1024,1024,1.0,0.029160527311183893,0.03500000047716969
iid,raw,2048,10000,0.7249,0.02778847677893248,0.03500000000162306
iid,smooth,2048,10000,0.6955,0.029160527311183893,0.03500000047716969
qmc,raw,2048,1024,1.0,0.02778847677893248,0.03500000000162306
qmc,smooth,2048,1024,1.0,0.029160527311183893,0.03500000047716969
iid,raw,4096,10000,0.818,0.02778847677893248,0.03500000000162306
iid,smooth,4096,10000,0.7646,0.029160527311183893,0.03500000047716969
qmc,raw,4096,1024,1.0,0.02778847677893248,0.03500000000162306
qmc,smooth,4096,1024,1.0,0.029160527311183893,0.03500000047716969
iid,raw,8192,10000,0.9102,0.02778847677893248,0.03500000000162306
iid,smooth,8192,10000,0.8577,0.029160527311183893,0.03500000047716969
qmc,raw,8192,1024,1.0,0.02778847677893248,0.03500000000162306
qmc,smooth,8192,1024,1.0,0.029160527311183893,0.03500000047716969
