x,iid_seed11_ei,iid_seed11_log_ei,iid_seed29_ei,iid_seed29_log_ei,iid_seed47_ei,iid_seed47_log_ei,iid_seed83_ei,iid_seed83_log_ei,qmc_seed11_ei,qmc_seed11_log_ei,qmc_seed29_ei,qmc_seed29_log_ei,qmc_seed47_ei,qmc_seed47_log_ei,qmc_seed83_ei,qmc_seed83_log_ei,high_budget_qmc_ei,high_budget_qmc_log_ei
-2.0,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.99,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.98,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.97,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.96,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.95,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.94,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.93,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.92,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
-1.91,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,0.0,-inf,1.586563447484291e-05,-11.051355141617659
