method,utility,candidate,sample_count,repetitions,empirical_relative_variance,iid_theoretical_relative_variance,relative_error_to_iid_theory
iid,raw,A,32,10000,0.03627970727657902,0.03587179894276428,0.0113712817822597
iid,raw,B,32,10000,6.202102550507912,6.223852040236687,0.0034945383643708136
iid,smooth,A,32,10000,0.03089862474000457,0.030516145526502766,0.012533667240825934
iid,smooth,B,32,10000,6.202102376284531,6.223851870261875,0.0034945391424344788
qmc,raw,A,32,1024,0.0005441762928531227,0.03587179894276428,0.9848299692546395
qmc,raw,B,32,1024,5.01569077106761,6.223852040236687,0.1941179291150263
qmc,smooth,A,32,1024,0.0004886359068195798,0.030516145526502766,0.9839876269303013
qmc,smooth,B,32,1024,5.015690623029982,6.223851870261875,0.19411793089173549
iid,raw,A,64,10000,0.01836932249385119,0.01793589947138214,0.024165112162933534
iid,raw,B,64,10000,3.121847848943218,3.1119260201183434,0.003188324131335707
iid,smooth,A,64,10000,0.01562518562837407,0.015258072763251383,0.024060238197766926
iid,smooth,B,64,10000,3.1218477784993355,3.1119259351309374,0.0031883288918894545
qmc,raw,A,64,1024,0.0001747001940032568,0.01793589947138214,0.9902597472581733
qmc,raw,B,64,1024,2.081819321538255,3.1119260201183434,0.33101901906424963
qmc,smooth,A,64,1024,0.00015725815046740662,0.015258072763251383,0.9896934460264105
qmc,smooth,B,64,1024,2.081819252927229,3.1119259351309374,0.33101902284199636
iid,raw,A,128,10000,0.009088254124948219,0.00896794973569107,0.013414926800755348
iid,raw,B,128,10000,1.5068568642503182,1.5559630100591717,0.03155996992948185
iid,smooth,A,128,10000,0.00772871875213176,0.007629036381625692,0.013066181037771797
iid,smooth,B,128,10000,1.506856830597278,1.5559629675654687,0.031559965109596654
qmc,raw,A,128,1024,6.059521398262675e-05,0.00896794973569107,0.993243136305563
qmc,raw,B,128,1024,0.5592278713026992,1.5559630100591717,0.6405905103865982
qmc,smooth,A,128,1024,5.344964556120532e-05,0.007629036381625692,0.9929939191678339
qmc,smooth,B,128,1024,0.5592278714773673,1.5559629675654687,0.640590500458786
iid,raw,A,256,10000,0.0044547370928020675,0.004483974867845535,0.006520503772920484
iid,raw,B,256,10000,0.7868085165358935,0.7779815050295859,0.01134604286765393
iid,smooth,A,256,10000,0.003788112543342281,0.003814518190812846,0.00692240701175891
iid,smooth,B,256,10000,0.7868084934973829,0.7779814837827344,0.01134604087455848
qmc,raw,A,256,1024,1.9550198399843328e-05,0.004483974867845535,0.9956399848402279
qmc,raw,B,256,1024,0.1231302713868591,0.7779815050295859,0.8417311072424831
qmc,smooth,A,256,1024,1.7223951596518625e-05,0.003814518190812846,0.995484632466034
qmc,smooth,B,256,1024,0.12313026789976066,0.7779814837827344,0.8417311074023619
iid,raw,A,512,10000,0.0022700971334492256,0.0022419874339227675,0.012537848830524032
iid,raw,B,512,10000,0.3798625762309691,0.3889907525147929,0.02346630665333543
iid,smooth,A,512,10000,0.0019338085416160395,0.001907259095406423,0.013920209516137677
iid,smooth,B,512,10000,0.3798625672852129,0.3889907418913672,0.02346630298132775
qmc,raw,A,512,1024,6.1309035168438825e-06,0.0022419874339227675,0.9972654157538623
qmc,raw,B,512,1024,0.037914938141945825,0.3889907525147929,0.9025299755924043
qmc,smooth,A,512,1024,5.39621014521379e-06,0.001907259095406423,0.9971706989584109
qmc,smooth,B,512,1024,0.037914931096301945,0.3889907418913672,0.902529991043102
iid,raw,A,1024,10000,0.001099819126682493,0.0011209937169613837,0.01888912485280253
iid,raw,B,1024,10000,0.1966616781208032,0.19449537625739646,0.011138063562703138
iid,smooth,A,1024,10000,0.0009346209162032699,0.0009536295477032115,0.019932930502964494
iid,smooth,B,1024,10000,0.19666167168111023,0.1944953709456836,0.011138058067364624
qmc,raw,A,1024,1024,2.399274426762828e-06,0.0011209937169613837,0.9978596896749194
qmc,raw,B,1024,1024,0.0037523807057690236,0.19449537625739646,0.9807070955722716
qmc,smooth,A,1024,1024,2.1013884104956197e-06,0.0009536295477032115,0.9977964311030874
qmc,smooth,B,1024,1024,0.0037523802325807373,0.1944953709456836,0.9807070974782806
iid,raw,A,2048,10000,0.0005756586327019739,0.0005604968584806919,0.02705059625557972
iid,raw,B,2048,10000,0.09812736475412347,0.09724768812869823,0.009045733038517743
iid,smooth,A,2048,10000,0.0004894948956316439,0.0004768147738516057,0.026593391135117068
iid,smooth,B,2048,10000,0.09812736242195823,0.0972476854728418,0.009045736614082193
qmc,raw,A,2048,1024,8.30322799249888e-07,0.0005604968584806919,0.9985185950881142
qmc,raw,B,2048,1024,0.0018101495367259936,0.09724768812869823,0.9813861946586285
qmc,smooth,A,2048,1024,7.432561722981671e-07,0.0004768147738516057,0.9984412056566656
qmc,smooth,B,2048,1024,0.0018101492729930171,0.0972476854728418,0.981386196862253
iid,raw,A,4096,10000,0.0002863858040552606,0.00028024842924034594,0.02189976526024032
iid,raw,B,4096,10000,0.04918827656769143,0.048623844064349116,0.011608142346691927
iid,smooth,A,4096,10000,0.0002435549866132835,0.00023840738692580286,0.02159161154298742
iid,smooth,B,4096,10000,0.049188275250123745,0.0486238427364209,0.011608142876788073
qmc,raw,A,4096,1024,2.673498477074557e-07,0.00028024842924034594,0.9990460255265938
qmc,raw,B,4096,1024,0.0005936211535847061,0.048623844064349116,0.9877915626580428
qmc,smooth,A,4096,1024,2.3745729904031793e-07,0.00023840738692580286,0.9990039851444946
qmc,smooth,B,4096,1024,0.0005936210481430851,0.0486238427364209,0.9877915644931444
iid,raw,A,8192,10000,0.00013985738894259784,0.00014012421462017297,0.0019042081934117971
iid,raw,B,8192,10000,0.02441969902295987,0.024311922032174558,0.0044330921530053875
iid,smooth,A,8192,10000,0.00011881292891445939,0.00011920369346290143,0.0032781245034463153
iid,smooth,B,8192,10000,0.024419698224639613,0.02431192136821045,0.004433086747725745
qmc,raw,A,8192,1024,8.529669327760537e-08,0.00014012421462017297,0.99939127799211
