observation_order,phase,query_index,action_position,action_key,node_index,gw_band_gap_ev,standardized_observation
1,initial,0,156,current-nlr-pbe-gw-v1:gw:matdb:000290207,1880,4.959,0.16523348915755762
2,initial,0,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,148,7.554,1.5968892633273806
3,initial,0,3,current-nlr-pbe-gw-v1:gw:matdb:000009744,78,4.385,-0.15144104431969785
4,initial,0,95,current-nlr-pbe-gw-v1:gw:matdb:000009772,889,2.519,-1.1809091270175354
5,initial,0,57,current-nlr-pbe-gw-v1:gw:matdb:000010286,653,1.962,-1.4882047980050468
6,initial,0,50,current-nlr-pbe-gw-v1:gw:matdb:000289749,566,4.973,0.17295725826675912
7,initial,0,7,current-nlr-pbe-gw-v1:gw:matdb:000009577,122,6.24,0.8719583626494819
8,initial,0,117,current-nlr-pbe-gw-v1:gw:matdb:000010399,1189,4.684,0.013516595941102721
9,sequential,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,143,9.753,2.8100727112655077
10,sequential,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,1971,9.956,2.922067363348927
11,sequential,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,203,10.349,3.1388845962000795
12,sequential,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,133,6.157,0.8261674457877881
13,sequential,5,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,138,5.645,0.543698175508424
14,sequential,6,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,89,10.14,3.023579757355574
15,sequential,7,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,1554,8.131,1.9152188901851792
16,sequential,8,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,709,7.794,1.729296733770832
17,sequential,9,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,816,4.269,-0.21543798836736605
18,sequential,10,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,1555,5.996,0.7373441010319728
19,sequential,11,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,513,6.904,1.2382856975430319
20,sequential,12,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,730,3.015,-0.9072670214344017
