seed,query_index,adaptive_action_position,adaptive_action_key,shadow_full_action_position,shadow_full_action_key,action_agreement,shadow_full_laplace_ei_regret_standardized,active_factor_count,active_factor_fraction,structural_envelope,shadow_full_seconds_excluded_from_adaptive_runtime,shadow_affected_adaptive_policy
0,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,True,0.0,124718,1.0,-0.0001887600481724691,0.22073020902462304,False
0,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,True,0.0,124718,1.0,-3.145145160678587e-06,0.21503412490710616,False
0,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,True,0.0,124718,1.0,-4.76250542144884e-06,0.18968070787377656,False
0,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,True,0.0,124718,1.0,-2.0323188808985036e-07,0.17596733407117426,False
0,5,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,True,0.0,124718,1.0,-8.918511696041751e-07,0.12314820801839232,False
0,6,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,True,0.0,124718,1.0,-3.8954597187107877e-07,0.11418895795941353,False
0,7,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,True,0.0,124718,1.0,-1.2408208451334096e-09,0.18364654202014208,False
0,8,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,True,0.0,124718,1.0,-1.2608747283188832e-06,0.18842562497593462,False
0,9,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,True,0.0,124718,1.0,-3.0572250867697605e-06,0.1717067090794444,False
0,10,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,True,0.0,124718,1.0,-9.692917895981907e-07,0.14262549998238683,False
0,11,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,True,0.0,124718,1.0,-2.734553184067189e-07,0.13710995786823332,False
0,12,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,True,0.0,124718,1.0,-1.659851006310111e-06,0.16388054098933935,False
1,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,True,0.0,124718,1.0,-7.442060247885018e-05,0.21580116706900299,False
1,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,True,0.0,124718,1.0,-1.4200064253768929e-11,0.431931208120659,False
1,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,True,0.0,124718,1.0,-9.830468619736425e-12,0.18081775004975498,False
1,4,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,True,0.0,124718,1.0,-3.481459604838712e-14,0.18604145804420114,False
1,5,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,True,0.0,124718,1.0,-1.022025306865492e-13,0.11568445805460215,False
1,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,True,0.0,124718,1.0,-2.4951097217811572e-14,0.13111095782369375,False
1,7,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,True,0.0,124718,1.0,-2.993261496796035e-14,0.1398564160335809,False
