reference_update_kind,observation_count,sigma_obs_standardized,dense_update_solve_seconds,posterior_mean_solve_relative_residual,dense_inverse_relative_residual,total_reference_update_seconds,principal_precision_submatrix_used,repeated_500_rhs_marginalization,active_factor_count,inference_kind,warm_start_source,approximation,optimizer,optimizer_success,optimizer_iterations,optimizer_function_evaluations,gradient_infinity_norm,map_optimization_seconds,optimizer_attempts,factor_energy_gradient_calls,factor_energy_gradient_element_work,factor_energy_gradient_seconds,hessian_construction_seconds,factor_hessian_calls,factor_hessian_element_work,factor_hessian_seconds,dense_cholesky_seconds,laplace_solve_relative_residual,laplace_spd_cholesky_success,stage_conditioning_seconds,method,pbe_conditioning_seconds,active_factor_fraction,selected_action_position,selected_action_key,selected_ei_standardized,adaptive_stages,structural_envelope,full_bank_fallback,structurally_certified,total_decision_seconds,hyperparameters_fit_or_updated,seed,query_index,stop_reason,maximum_contribution_sum_error,warm_start_across_bo_used,active_set_retained_from_previous_bo_iteration,warm_start_across_stages_used,worst_challenger_action_position,menz_incremental_update_seconds
J_H0_plus_diagonal_observations,8,0.05,0.0023782500065863132,7.623568996458801e-16,1.0139199022155217e-15,0.003724499838426709,False,False,124718,laplace,zero_fallback_first_state,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,3,8,3.527200254274665e-06,0.1970557919703424,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 68, 'function_evaluations': 83, 'objective': 161.62196151626182, 'gradient_infinity_norm': 1.3543192432269313e-05}, {'attempt': 2, 'start_source': 'first_attempt_candidate', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 3, 'function_evaluations': 8, 'objective': 161.62196151626136, 'gradient_infinity_norm': 3.527200254274665e-06}]",93,11598774,0.193068039836362,0.0031300000846385956,1,124718,0.003128624986857176,0.000398874981328845,1.5606460934214666e-15,True,0.20550658297725022,FULL_PBE_OPT,0.20550658297725022,1.0,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,0.006858792551484388,0,0.0,False,True,0.2095768330618739,False,0,1,,,,,,,
J_H0_plus_diagonal_observations,9,0.05,0.002028124872595072,1.037315548884487e-15,9.451253771033034e-16,0.0032155420631170273,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,75,83,5.398742042514448e-06,0.18356683407910168,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 75, 'function_evaluations': 83, 'objective': 160.7773505898595, 'gradient_infinity_norm': 5.398742042514448e-06}]",84,10476312,0.18001270736567676,0.002946041990071535,1,124718,0.002945207990705967,0.0003953329287469387,1.5799063086141804e-15,True,0.19071549992077053,FULL_PBE_OPT,0.19071549992077053,1.0,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,3.043409618782233e-05,0,0.0,False,True,0.19422354199923575,False,0,2,,,,,,,
J_H0_plus_diagonal_observations,10,0.05,0.0022552500013262033,5.552488655518191e-16,9.895328160992118e-16,0.0035201669670641422,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,67,75,7.315406418850756e-06,0.1639668750576675,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 67, 'function_evaluations': 75, 'objective': 160.0656503191879, 'gradient_infinity_norm': 7.315406418850756e-06}]",76,9478568,0.1608275796752423,0.002875291043892503,1,124718,0.0028751250356435776,0.0003730000462383032,1.6001757074031508e-15,True,0.17099083284847438,FULL_PBE_OPT,0.17099083284847438,1.0,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,1.6084819253116007e-05,0,0.0,False,True,0.1747673749923706,False,0,3,,,,,,,
J_H0_plus_diagonal_observations,11,0.05,0.002125042024999857,9.10401926378614e-16,9.972950471337662e-16,0.0035332501865923405,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,69,76,3.1693319375303286e-06,0.1683328750077635,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 69, 'function_evaluations': 76, 'objective': 159.39139412453264, 'gradient_infinity_norm': 3.1693319375303286e-06}]",77,9603286,0.16513974615372717,0.0030700841452926397,1,124718,0.0030697498004883528,0.0003402500879019499,1.5485588218946586e-15,True,0.1754765419755131,FULL_PBE_OPT,0.1754765419755131,1.0,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,2.8833522539377084e-06,0,0.0,False,True,0.17917766701430082,False,0,4,,,,,,,
J_H0_plus_diagonal_observations,12,0.05,0.0022040000185370445,8.162510161976972e-16,1.0234961748870803e-15,0.003404707880690694,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,44,51,6.787245133477171e-06,0.11141366604715586,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 44, 'function_evaluations': 51, 'objective': 159.29427722868684, 'gradient_infinity_norm': 6.787245133477171e-06}]",52,6485336,0.10930429236032069,0.003004541853442788,1,124718,0.00300425011664629,0.00039462512359023094,1.5762117067965176e-15,True,0.11880149994976819,FULL_PBE_OPT,0.11880149994976819,1.0,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,2.9734569317209217e-06,0,0.0,False,True,0.12255175015889108,False,0,5,,,,,,,
J_H0_plus_diagonal_observations,13,0.05,0.0021151669789105654,9.54101633010618e-16,1.005010094620717e-15,0.0032913750037550926,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,37,45,1.304400363319469e-06,0.10309066693298519,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 37, 'function_evaluations': 45, 'objective': 159.2690311722482, 'gradient_infinity_norm': 1.304400363319469e-06}]",46,5737028,0.10122100380249321,0.002930667018517852,1,124718,0.002930500078946352,0.00037895794957876205,1.5425509504268741e-15,True,0.11005924991331995,FULL_PBE_OPT,0.11005924991331995,1.0,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,2.0828424957647804e-06,0,0.0,False,True,0.11354462499730289,False,0,6,,,,,,,
J_H0_plus_diagonal_observations,14,0.05,0.00221950002014637,7.251914024306507e-16,1.0106851488790943e-15,0.0034607499837875366,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,75,81,1.5572540767311294e-06,0.1838446669280529,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 75, 'function_evaluations': 81, 'objective': 158.4240916207737, 'gradient_infinity_norm': 1.5572540767311294e-06}]",82,10226876,0.18038666783832014,0.0029805831145495176,1,124718,0.002980208955705166,0.0004920409992337227,1.578923405730835e-15,True,0.19134370796382427,FULL_PBE_OPT,0.19134370796382427,1.0,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,4.683585301914231e-06,0,0.0,False,True,0.19514020811766386,False,0,7,,,,,,,
J_H0_plus_diagonal_observations,15,0.05,0.002063874853774905,8.241235629863313e-16,1.025071947346082e-15,0.0031597090419381857,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,73,82,1.5489787151615197e-06,0.18281091609969735,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 73, 'function_evaluations': 82, 'objective': 157.94458859397974, 'gradient_infinity_norm': 1.5489787151615197e-06}]",83,10351594,0.1793177544604987,0.0029736668802797794,1,124718,0.0029733339324593544,0.0003945829812437296,1.6321345120920922e-15,True,0.19013379095122218,FULL_PBE_OPT,0.19013379095122218,1.0,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,7.734449869015078e-06,0,0.0,False,True,0.19349229102954268,False,0,8,,,,,,,
J_H0_plus_diagonal_observations,16,0.05,0.0021499590948224068,5.789140321006864e-16,9.968948863764493e-16,0.0035490000154823065,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,60,74,2.0250797869159065e-06,0.16700441716238856,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 60, 'function_evaluations': 74, 'objective': 157.5707236651769, 'gradient_infinity_norm': 2.0250797869159065e-06}]",75,9353850,0.1640770009253174,0.003072792198508978,1,124718,0.00307254190556705,0.000378916971385479,1.6064954995272936e-15,True,0.17394899995997548,FULL_PBE_OPT,0.17394899995997548,1.0,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,9.545840955624111e-06,0,0.0,False,True,0.1776616668794304,False,0,9,,,,,,,
J_H0_plus_diagonal_observations,17,0.05,0.0021412090864032507,7.89554241698881e-16,9.87864421788912e-16,0.0032814170699566603,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,50,61,5.530736232745026e-07,0.14717979193665087,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 50, 'function_evaluations': 61, 'objective': 157.7943559491631, 'gradient_infinity_norm': 5.530736232745026e-07}]",62,7732516,0.14472816931083798,0.0028777499683201313,1,124718,0.0028775420505553484,0.0003193751908838749,1.5581373998357073e-15,True,0.15413258294574916,FULL_PBE_OPT,0.15413258294574916,1.0,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,4.8134352803096765e-06,0,0.0,False,True,0.15769287501461804,False,0,10,,,,,,,
