seed,query_index,adaptive_action_position,adaptive_action_key,shadow_full_action_position,shadow_full_action_key,action_agreement,shadow_full_laplace_ei_regret_standardized,active_factor_count,active_factor_fraction,structural_envelope,shadow_full_seconds_excluded_from_adaptive_runtime,shadow_affected_adaptive_policy
0,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,True,0.0,124718,1.0,-0.0001887600481724691,0.21455866703763604,False
0,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,True,0.0,124718,1.0,-3.145195251854098e-06,0.18502883287146688,False
0,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,True,0.0,124718,1.0,-4.76252452617749e-06,0.17220720904879272,False
0,4,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,True,0.0,124718,1.0,-2.032316777385556e-07,0.17880695802159607,False
0,5,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,True,0.0,124718,1.0,-8.918625825568707e-07,0.12115612486377358,False
0,6,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,True,0.0,124718,1.0,-3.895445587092481e-07,0.10847262502647936,False
0,7,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,True,0.0,124718,1.0,-1.2440037576308882e-09,0.19767041597515345,False
0,8,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,True,0.0,124718,1.0,-1.2608714998415833e-06,0.19135150010697544,False
0,9,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,True,0.0,124718,1.0,-3.057221705505132e-06,0.17467025015503168,False
0,10,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,True,0.0,124718,1.0,-9.692934119257072e-07,0.1471985410898924,False
0,11,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,46,current-nlr-pbe-gw-v1:gw:matdb:000289999,True,0.0,124718,1.0,-2.734666936184859e-07,0.14291562512516975,False
0,12,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,77,current-nlr-pbe-gw-v1:gw:matdb:000011455,True,0.0,124718,1.0,-1.6598409235858979e-06,0.16442354209721088,False
1,1,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,True,0.0,124718,1.0,-7.442060247885018e-05,0.24202241702005267,False
1,2,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,True,0.0,124718,1.0,-1.4200098365621435e-11,0.4140243330039084,False
1,3,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,True,0.0,124718,1.0,-9.830403782927988e-12,0.18110658298246562,False
1,4,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,True,0.0,124718,1.0,-3.481459895454565e-14,0.19061291683465242,False
1,5,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,True,0.0,124718,1.0,-1.0220269712982873e-13,0.12218170799314976,False
1,6,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,14,current-nlr-pbe-gw-v1:gw:matdb:000009613,True,0.0,124718,1.0,-2.495130815061907e-14,0.13622400001622736,False
1,7,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,True,0.0,124718,1.0,-2.993257133705434e-14,0.1385484579950571,False
