reference_update_kind,observation_count,sigma_obs_standardized,dense_update_solve_seconds,posterior_mean_solve_relative_residual,dense_inverse_relative_residual,total_reference_update_seconds,principal_precision_submatrix_used,repeated_500_rhs_marginalization,active_factor_count,inference_kind,warm_start_source,approximation,optimizer,optimizer_success,optimizer_iterations,optimizer_function_evaluations,gradient_infinity_norm,map_optimization_seconds,optimizer_attempts,factor_energy_gradient_calls,factor_energy_gradient_element_work,factor_energy_gradient_seconds,hessian_construction_seconds,factor_hessian_calls,factor_hessian_element_work,factor_hessian_seconds,dense_cholesky_seconds,laplace_solve_relative_residual,laplace_spd_cholesky_success,stage_conditioning_seconds,method,pbe_conditioning_seconds,active_factor_fraction,selected_action_position,selected_action_key,selected_ei_standardized,adaptive_stages,structural_envelope,full_bank_fallback,structurally_certified,total_decision_seconds,hyperparameters_fit_or_updated,seed,query_index,stop_reason,maximum_contribution_sum_error,warm_start_across_bo_used,warm_start_across_stages_used,worst_challenger_action_position,menz_incremental_update_seconds
J_H0_plus_diagonal_observations,8,0.05,0.002777291927486658,7.623568996458801e-16,1.0139199022155217e-15,0.00410491693764925,False,False,124718,laplace,zero_fallback_first_state,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,3,8,3.527200254274665e-06,0.2000243328511715,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 68, 'function_evaluations': 83, 'objective': 161.62196151626182, 'gradient_infinity_norm': 1.3543192432269313e-05}, {'attempt': 2, 'start_source': 'first_attempt_candidate', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 3, 'function_evaluations': 8, 'objective': 161.62196151626136, 'gradient_infinity_norm': 3.527200254274665e-06}]",93,11598774,0.19497333839535713,0.0030484579037874937,1,124718,0.0030470408964902163,0.00042220810428261757,1.5606460934214666e-15,True,0.20775037491694093,FULL_PBE_OPT,0.20775037491694093,1.0,13,current-nlr-pbe-gw-v1:gw:matdb:000010014,0.006858792551484388,0,0.0,False,True,0.2124993340112269,False,0,1,,,,,,
J_H0_plus_diagonal_observations,9,0.05,0.0022219999227672815,1.037315548884487e-15,9.451253771033034e-16,0.0034739170223474503,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,75,83,5.398742042514448e-06,0.184368500020355,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 75, 'function_evaluations': 83, 'objective': 160.7773505898595, 'gradient_infinity_norm': 5.398742042514448e-06}]",84,10476312,0.18068653531372547,0.0029609589837491512,1,124718,0.0029597501270473003,0.00040525011718273163,1.5799063086141804e-15,True,0.19199037505313754,FULL_PBE_OPT,0.19199037505313754,1.0,165,current-nlr-pbe-gw-v1:gw:matdb:000010579,3.043409618782233e-05,0,0.0,False,True,0.19570387504063547,False,0,2,,,,,,
J_H0_plus_diagonal_observations,10,0.05,0.0020883330143988132,5.552488655518191e-16,9.895328160992118e-16,0.00328166619874537,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,67,75,7.315406418850756e-06,0.18575666705146432,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 67, 'function_evaluations': 75, 'objective': 160.0656503191879, 'gradient_infinity_norm': 7.315406418850756e-06}]",76,9478568,0.18047820194624364,0.0029822499491274357,1,124718,0.002982041100040078,0.0004956668708473444,1.6001757074031508e-15,True,0.19341945787891746,FULL_PBE_OPT,0.19341945787891746,1.0,15,current-nlr-pbe-gw-v1:gw:matdb:000010786,1.6084819253116007e-05,0,0.0,False,True,0.19697616691701114,False,0,3,,,,,,
J_H0_plus_diagonal_observations,11,0.05,0.0021262909285724163,9.10401926378614e-16,9.972950471337662e-16,0.0033637089654803276,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,69,76,3.1693319375303286e-06,0.17159362486563623,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 69, 'function_evaluations': 76, 'objective': 159.39139412453264, 'gradient_infinity_norm': 3.1693319375303286e-06}]",77,9603286,0.16818520217202604,0.003111958969384432,1,124718,0.00311166699975729,0.000994209200143814,1.5485588218946586e-15,True,0.18170324992388487,FULL_PBE_OPT,0.18170324992388487,1.0,11,current-nlr-pbe-gw-v1:gw:matdb:000010003,2.8833522539377084e-06,0,0.0,False,True,0.18531366693787277,False,0,4,,,,,,
J_H0_plus_diagonal_observations,12,0.05,0.002299417043104768,8.162510161976972e-16,1.0234961748870803e-15,0.0035616671666502953,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,44,51,6.787245133477171e-06,0.11840804107487202,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 44, 'function_evaluations': 51, 'objective': 159.29427722868684, 'gradient_infinity_norm': 6.787245133477171e-06}]",52,6485336,0.11558316857554018,0.003025874961167574,1,124718,0.0030254998710006475,0.00039762514643371105,1.5762117067965176e-15,True,0.12594550009816885,FULL_PBE_OPT,0.12594550009816885,1.0,12,current-nlr-pbe-gw-v1:gw:matdb:000009592,2.9734569317209217e-06,0,0.0,False,True,0.1300450840499252,False,0,5,,,,,,
J_H0_plus_diagonal_observations,13,0.05,0.0022432911209762096,9.54101633010618e-16,1.005010094620717e-15,0.0034639169462025166,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,37,45,1.304400363319469e-06,0.10126087488606572,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 37, 'function_evaluations': 45, 'objective': 159.2690311722482, 'gradient_infinity_norm': 1.304400363319469e-06}]",46,5737028,0.09919062023982406,0.0032093750778585672,1,124718,0.003209042130038142,0.0003960840404033661,1.5425509504268741e-15,True,0.10866116709075868,FULL_PBE_OPT,0.10866116709075868,1.0,5,current-nlr-pbe-gw-v1:gw:matdb:000011924,2.0828424957647804e-06,0,0.0,False,True,0.1123800000641495,False,0,6,,,,,,
J_H0_plus_diagonal_observations,14,0.05,0.0028440828900784254,7.251914024306507e-16,1.0106851488790943e-15,0.0040497498121112585,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,75,81,1.5572540767311294e-06,0.17486379202455282,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 75, 'function_evaluations': 81, 'objective': 158.4240916207737, 'gradient_infinity_norm': 1.5572540767311294e-06}]",82,10226876,0.171144082210958,0.00299249985255301,1,124718,0.0029921659734100103,0.0003735420759767294,1.578923405730835e-15,True,0.18259341712109745,FULL_PBE_OPT,0.18259341712109745,1.0,134,current-nlr-pbe-gw-v1:gw:matdb:000286993,4.683585301914231e-06,0,0.0,False,True,0.1871640000026673,False,0,7,,,,,,
J_H0_plus_diagonal_observations,15,0.05,0.002064292086288333,8.241235629863313e-16,1.025071947346082e-15,0.0032437918707728386,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,73,82,1.5489787151615197e-06,0.18283158307895064,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 73, 'function_evaluations': 82, 'objective': 157.94458859397974, 'gradient_infinity_norm': 1.5489787151615197e-06}]",83,10351594,0.17919333698228002,0.0029260830488055944,1,124718,0.0029257501009851694,0.0003805409651249647,1.6321345120920922e-15,True,0.19018420903012156,FULL_PBE_OPT,0.19018420903012156,1.0,71,current-nlr-pbe-gw-v1:gw:matdb:000289958,7.734449869015078e-06,0,0.0,False,True,0.19367195898666978,False,0,8,,,,,,
J_H0_plus_diagonal_observations,16,0.05,0.002153791021555662,5.789140321006864e-16,9.968948863764493e-16,0.0034832500386983156,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,60,74,2.0250797869159065e-06,0.17245216690935194,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 60, 'function_evaluations': 74, 'objective': 157.5707236651769, 'gradient_infinity_norm': 2.0250797869159065e-06}]",75,9353850,0.16914954036474228,0.0030482078436762094,1,124718,0.0030478332191705704,0.0003891661763191223,1.6064954995272936e-15,True,0.17989016696810722,FULL_PBE_OPT,0.17989016696810722,1.0,85,current-nlr-pbe-gw-v1:gw:matdb:000011426,9.545840955624111e-06,0,0.0,False,True,0.18377149989828467,False,0,9,,,,,,
J_H0_plus_diagonal_observations,17,0.05,0.002121959114447236,7.89554241698881e-16,9.87864421788912e-16,0.0035267500206828117,False,False,124718,laplace,preceding_FULL_PBE_OPT_MAP,Laplace Gaussian; not the exact conditioned posterior,scipy.optimize.minimize/L-BFGS-B,True,50,61,5.530736232745026e-07,0.13496033404953778,"[{'attempt': 1, 'start_source': 'initial_map', 'success': True, 'status': 0, 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH', 'iterations': 50, 'function_evaluations': 61, 'objective': 157.7943559491631, 'gradient_infinity_norm': 5.530736232745026e-07}]",62,7732516,0.13243375183083117,0.0030113752000033855,1,124718,0.0030111658852547407,0.0004009171389043331,1.5581373998357073e-15,True,0.14215920795686543,FULL_PBE_OPT,0.14215920795686543,1.0,135,current-nlr-pbe-gw-v1:gw:matdb:000289941,4.8134352803096765e-06,0,0.0,False,True,0.14602737501263618,False,0,10,,,,,,
