seed,method,mu_seed_ev,scale_seed_ev,initial_action_positions,initial_action_keys,aurc_ev,final_simple_regret_ev,time_to_first_oracle_top_10,global_optimum_discovered
0,NO_PBE,4.6594999999999995,1.8125865496576985,"[156, 14, 3, 95, 57, 50, 7, 117]","[""current-nlr-pbe-gw-v1:gw:matdb:000290207"", ""current-nlr-pbe-gw-v1:gw:matdb:000009613"", ""current-nlr-pbe-gw-v1:gw:matdb:000009744"", ""current-nlr-pbe-gw-v1:gw:matdb:000009772"", ""current-nlr-pbe-gw-v1:gw:matdb:000010286"", ""current-nlr-pbe-gw-v1:gw:matdb:000289749"", ""current-nlr-pbe-gw-v1:gw:matdb:000009577"", ""current-nlr-pbe-gw-v1:gw:matdb:000010399""]",14.964,0.0,0,True
0,FULL_PBE,4.6594999999999995,1.8125865496576985,"[156, 14, 3, 95, 57, 50, 7, 117]","[""current-nlr-pbe-gw-v1:gw:matdb:000290207"", ""current-nlr-pbe-gw-v1:gw:matdb:000009613"", ""current-nlr-pbe-gw-v1:gw:matdb:000009744"", ""current-nlr-pbe-gw-v1:gw:matdb:000009772"", ""current-nlr-pbe-gw-v1:gw:matdb:000010286"", ""current-nlr-pbe-gw-v1:gw:matdb:000289749"", ""current-nlr-pbe-gw-v1:gw:matdb:000009577"", ""current-nlr-pbe-gw-v1:gw:matdb:000010399""]",0.9890000000000008,0.0,0,True
1,NO_PBE,4.137124999999999,1.2183757850398327,"[177, 87, 6, 181, 156, 27, 140, 94]","[""current-nlr-pbe-gw-v1:gw:matdb:000010890"", ""current-nlr-pbe-gw-v1:gw:matdb:000009700"", ""current-nlr-pbe-gw-v1:gw:matdb:000009985"", ""current-nlr-pbe-gw-v1:gw:matdb:000290216"", ""current-nlr-pbe-gw-v1:gw:matdb:000290207"", ""current-nlr-pbe-gw-v1:gw:matdb:000289674"", ""current-nlr-pbe-gw-v1:gw:matdb:000289987"", ""current-nlr-pbe-gw-v1:gw:matdb:000009916""]",12.169,0.0,1,True
1,FULL_PBE,4.137124999999999,1.2183757850398327,"[177, 87, 6, 181, 156, 27, 140, 94]","[""current-nlr-pbe-gw-v1:gw:matdb:000010890"", ""current-nlr-pbe-gw-v1:gw:matdb:000009700"", ""current-nlr-pbe-gw-v1:gw:matdb:000009985"", ""current-nlr-pbe-gw-v1:gw:matdb:000290216"", ""current-nlr-pbe-gw-v1:gw:matdb:000290207"", ""current-nlr-pbe-gw-v1:gw:matdb:000289674"", ""current-nlr-pbe-gw-v1:gw:matdb:000289987"", ""current-nlr-pbe-gw-v1:gw:matdb:000009916""]",0.9890000000000008,0.0,1,True
2,NO_PBE,3.836125,1.3361932535057515,"[17, 48, 154, 153, 55, 85, 77, 20]","[""current-nlr-pbe-gw-v1:gw:matdb:000012394"", ""current-nlr-pbe-gw-v1:gw:matdb:000289757"", ""current-nlr-pbe-gw-v1:gw:matdb:000290272"", ""current-nlr-pbe-gw-v1:gw:matdb:000287048"", ""current-nlr-pbe-gw-v1:gw:matdb:000009667"", ""current-nlr-pbe-gw-v1:gw:matdb:000011426"", ""current-nlr-pbe-gw-v1:gw:matdb:000011455"", ""current-nlr-pbe-gw-v1:gw:matdb:000286928""]",53.263999999999996,4.407,,False
2,FULL_PBE,3.836125,1.3361932535057515,"[17, 48, 154, 153, 55, 85, 77, 20]","[""current-nlr-pbe-gw-v1:gw:matdb:000012394"", ""current-nlr-pbe-gw-v1:gw:matdb:000289757"", ""current-nlr-pbe-gw-v1:gw:matdb:000290272"", ""current-nlr-pbe-gw-v1:gw:matdb:000287048"", ""current-nlr-pbe-gw-v1:gw:matdb:000009667"", ""current-nlr-pbe-gw-v1:gw:matdb:000011426"", ""current-nlr-pbe-gw-v1:gw:matdb:000011455"", ""current-nlr-pbe-gw-v1:gw:matdb:000286928""]",0.9890000000000008,0.0,1,True
3,NO_PBE,4.96175,3.435743119867125,"[44, 165, 151, 34, 33, 15, 111, 149]","[""current-nlr-pbe-gw-v1:gw:matdb:000011802"", ""current-nlr-pbe-gw-v1:gw:matdb:000010579"", ""current-nlr-pbe-gw-v1:gw:matdb:000290117"", ""current-nlr-pbe-gw-v1:gw:matdb:000289708"", ""current-nlr-pbe-gw-v1:gw:matdb:000289702"", ""current-nlr-pbe-gw-v1:gw:matdb:000010786"", ""current-nlr-pbe-gw-v1:gw:matdb:000009877"", ""current-nlr-pbe-gw-v1:gw:matdb:000011568""]",0.0,0.0,0,True
3,FULL_PBE,4.96175,3.435743119867125,"[44, 165, 151, 34, 33, 15, 111, 149]","[""current-nlr-pbe-gw-v1:gw:matdb:000011802"", ""current-nlr-pbe-gw-v1:gw:matdb:000010579"", ""current-nlr-pbe-gw-v1:gw:matdb:000290117"", ""current-nlr-pbe-gw-v1:gw:matdb:000289708"", ""current-nlr-pbe-gw-v1:gw:matdb:000289702"", ""current-nlr-pbe-gw-v1:gw:matdb:000010786"", ""current-nlr-pbe-gw-v1:gw:matdb:000009877"", ""current-nlr-pbe-gw-v1:gw:matdb:000011568""]",0.0,0.0,0,True
4,NO_PBE,4.702500000000001,2.5999259330109497,"[133, 189, 15, 163, 184, 174, 176, 95]","[""current-nlr-pbe-gw-v1:gw:matdb:000286998"", ""current-nlr-pbe-gw-v1:gw:matdb:000290236"", ""current-nlr-pbe-gw-v1:gw:matdb:000010786"", ""current-nlr-pbe-gw-v1:gw:matdb:000010337"", ""current-nlr-pbe-gw-v1:gw:matdb:000010790"", ""current-nlr-pbe-gw-v1:gw:matdb:000287088"", ""current-nlr-pbe-gw-v1:gw:matdb:000287053"", ""current-nlr-pbe-gw-v1:gw:matdb:000009772""]",0.0,0.0,0,True
4,FULL_PBE,4.702500000000001,2.5999259330109497,"[133, 189, 15, 163, 184, 174, 176, 95]","[""current-nlr-pbe-gw-v1:gw:matdb:000286998"", ""current-nlr-pbe-gw-v1:gw:matdb:000290236"", ""current-nlr-pbe-gw-v1:gw:matdb:000010786"", ""current-nlr-pbe-gw-v1:gw:matdb:000010337"", ""current-nlr-pbe-gw-v1:gw:matdb:000010790"", ""current-nlr-pbe-gw-v1:gw:matdb:000287088"", ""current-nlr-pbe-gw-v1:gw:matdb:000287053"", ""current-nlr-pbe-gw-v1:gw:matdb:000009772""]",0.0,0.0,0,True
5,NO_PBE,4.269375,1.8769459188114233,"[151, 119, 88, 4, 97, 148, 123, 54]","[""current-nlr-pbe-gw-v1:gw:matdb:000290117"", ""current-nlr-pbe-gw-v1:gw:matdb:000289924"", ""current-nlr-pbe-gw-v1:gw:matdb:000010152"", ""current-nlr-pbe-gw-v1:gw:matdb:000289861"", ""current-nlr-pbe-gw-v1:gw:matdb:000012095"", ""current-nlr-pbe-gw-v1:gw:matdb:000010195"", ""current-nlr-pbe-gw-v1:gw:matdb:000010448"", ""current-nlr-pbe-gw-v1:gw:matdb:000289808""]",42.693999999999996,3.1320000000000006,11,False
5,FULL_PBE,4.269375,1.8769459188114233,"[151, 119, 88, 4, 97, 148, 123, 54]","[""current-nlr-pbe-gw-v1:gw:matdb:000290117"", ""current-nlr-pbe-gw-v1:gw:matdb:000289924"", ""current-nlr-pbe-gw-v1:gw:matdb:000010152"", ""current-nlr-pbe-gw-v1:gw:matdb:000289861"", ""current-nlr-pbe-gw-v1:gw:matdb:000012095"", ""current-nlr-pbe-gw-v1:gw:matdb:000010195"", ""current-nlr-pbe-gw-v1:gw:matdb:000010448"", ""current-nlr-pbe-gw-v1:gw:matdb:000289808""]",16.243999999999996,0.20899999999999963,5,False
