action_key,composition_key,node_index,normalized_formula
current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:composition:200e7dadb9f07b12e1d820065e9ad2de9ecc0c5bcf2e909f9320acf1815a2e53,48,Ag2 O
current-nlr-pbe-gw-v1:gw:matdb:000289692,current-nlr-pbe-gw-v1:composition:dff2d24c4076c82e94af1420dba81afecc62a472a5a7aec8241ab76e9642204b,76,Al Bi O3
current-nlr-pbe-gw-v1:gw:matdb:000289828,current-nlr-pbe-gw-v1:composition:fdb5210930a780a827fc45d51a8d28d2fef71cbcf01d520c4d33e71423aacea3,77,Al Ce O3
current-nlr-pbe-gw-v1:gw:matdb:000009744,current-nlr-pbe-gw-v1:composition:06053993505aacc47eaba12b91e7851de84ac27cd3c67dabd2628cb244e7b25c,78,Al Cu O2
current-nlr-pbe-gw-v1:gw:matdb:000289861,current-nlr-pbe-gw-v1:composition:65ab19f031d981b671bc9b7db66928370376af77aaafe43481e621c03e41b78c,88,Al La O3
current-nlr-pbe-gw-v1:gw:matdb:000011924,current-nlr-pbe-gw-v1:composition:5a1e77718cf88a9edd3f8d69315187137624f2d76386da326e33aebba3acf18a,89,Al Li O2
current-nlr-pbe-gw-v1:gw:matdb:000009985,current-nlr-pbe-gw-v1:composition:92553ca81a375b56cf17c50d42728c8881d2720a3b900845f319b13b73f72194,120,Al2 Cd O4
current-nlr-pbe-gw-v1:gw:matdb:000009577,current-nlr-pbe-gw-v1:composition:70328d58b819ee144ab22569fc1f7a4f949c480e8d8f6da122c20cad81eb38d1,122,Al2 Co O4
current-nlr-pbe-gw-v1:gw:matdb:000009995,current-nlr-pbe-gw-v1:composition:6d0a4afe846be473dbe687d67865665ee72de713e79dbbb16b6e3d7a40f0af40,125,Al2 Cu O4
current-nlr-pbe-gw-v1:gw:matdb:000289592,current-nlr-pbe-gw-v1:composition:10efa4483e7a59d484167ad4a212b11e31fb683a49b09e069e2aeb7d0f58d4d3,126,Al2 Fe O4
current-nlr-pbe-gw-v1:gw:matdb:000009582,current-nlr-pbe-gw-v1:composition:4ec54278782bdfe004c88db9f618f418ed76f0af4025461281ef31ef6dce5654,131,Al2 Mg O4
current-nlr-pbe-gw-v1:gw:matdb:000010003,current-nlr-pbe-gw-v1:composition:b13cd6e1d68c6c857da983e7873d5138af4a7e7510d83191bdc211768ab942d6,133,Al2 Mn O4
current-nlr-pbe-gw-v1:gw:matdb:000009592,current-nlr-pbe-gw-v1:composition:9b2366b9cb19bfd31d7ab51903592335881c053f280d990d0595fda6e7a050ad,138,Al2 Ni O4
current-nlr-pbe-gw-v1:gw:matdb:000010014,current-nlr-pbe-gw-v1:composition:db68d5cd81e192a0b7bda51f8348e653b27678732839f6c996f3fc30f1a5b3e6,143,Al2 O3
current-nlr-pbe-gw-v1:gw:matdb:000009613,current-nlr-pbe-gw-v1:composition:622826bb7225cac133db84cdb310697e81ea1bc273e3e1c108d95749c2d90eff,148,Al2 O4 Zn
current-nlr-pbe-gw-v1:gw:matdb:000010786,current-nlr-pbe-gw-v1:composition:131114703113be5d5aba5a77d23d6726379a9d8867dfd1463ca47f2fefc8388d,203,B2 O3
current-nlr-pbe-gw-v1:gw:matdb:000289615,current-nlr-pbe-gw-v1:composition:cedd1d613edf7f124052eb855c5a1e1e22457cccc3cf4bf24c2a76dfa852ff27,211,Ba Ce O3
current-nlr-pbe-gw-v1:gw:matdb:000012394,current-nlr-pbe-gw-v1:composition:805421279fde474cdb9a2f1b27411c4d07debcb73f67c7543411247d1e67ddc1,273,Ba Mn O2
current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4,274,Ba Mn O3
current-nlr-pbe-gw-v1:gw:matdb:000012301,current-nlr-pbe-gw-v1:composition:9e0ad51dc7e098c85c45d5b3f79bdc75c26aa9ecfd9cafa5880f494ee6f77070,294,Ba Ni O2
current-nlr-pbe-gw-v1:gw:matdb:000286928,current-nlr-pbe-gw-v1:composition:30b61fa5dfd7feaaada8b343ccc9af15cf888eb019bf67b5f0dad6e299504731,295,Ba Ni O3
current-nlr-pbe-gw-v1:gw:matdb:000010038,current-nlr-pbe-gw-v1:composition:190d0f6b1b7d60984c823cbcccbff6f27477d38d1acbbaadac1ab09bf4709cba,299,Ba O
current-nlr-pbe-gw-v1:gw:matdb:000011844,current-nlr-pbe-gw-v1:composition:318cf3095b5b9f55bc8f0b11e5983b6b8b69acf2d65eb086f697fc6a433bd08b,310,Ba O2 Zn
current-nlr-pbe-gw-v1:gw:matdb:000010465,current-nlr-pbe-gw-v1:composition:edc981c9299daf03ef149e162220d52662328a3e13acd0a0b3457a0ddcfcf535,315,Ba O3 Sn
