node_i,node_j,composition_key_i,composition_key_j,in_knn,in_mst
0,13,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:66b9bf0bc715dcc786a799dfca280716904c224f98d6a48872318d33aeb7ad2c,1,0
0,15,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:ffabb19d5ccc98cd43e970cfd7e89ce2c310e89b10a3fda0cc3c97524028e07b,1,0
0,40,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:2c4ec2f81c8f7f74584645c8c0367ffb6536a19b753455145b82ebc8bd439f66,1,0
0,53,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:c628417bda568712d70c03fd4622c3f1bda1a3c302358c090afed80c313bd2f9,1,1
0,71,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:2219ea7f752992f82c385b938f58300c4ee3af1187bde92c159248d518bc2292,1,0
0,78,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:06053993505aacc47eaba12b91e7851de84ac27cd3c67dabd2628cb244e7b25c,1,1
0,125,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:6d0a4afe846be473dbe687d67865665ee72de713e79dbbb16b6e3d7a40f0af40,1,0
0,885,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:5eab7424f98d1f6c970a7bd477418be6dca168d7038052bae51d765d2223f37f,1,0
0,889,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:013b2f365e173f61de380a2ab9cc316f47d427186d77e3816fa2e8f0446d7854,1,0
0,890,current-nlr-pbe-gw-v1:composition:89a91c1e346bf870bb4aa5e0b313826c96befa495479cf705819df63d76220a8,current-nlr-pbe-gw-v1:composition:f402332060ff87ffe8c2252fac44647f2f09752f8a2338d50f17b151f3c1474a,1,0
