support_count,factor_count,state,record_kind,epsilon,stage,active_factor_count,active_factor_fraction,active_leader,worst_challenger,active_ei_gap,b_struct,max_psi,shadow_full_leader,shadow_full_action_agreement,shadow_full_laplace_ei_regret,cumulative_factor_energy_gradient_calls,cumulative_factor_energy_gradient_work,cumulative_factor_hessian_calls,cumulative_factor_hessian_work,stage_fit_conditioning_seconds,load_solve_seconds,load_solve_iterations,load_solve_relative_residual,cumulative_conditioning_seconds,activated_factor_count_after_stage,certified,full_bank_fallback,peak_rss_bytes,pair_solve_seconds,pair_solve_iterations,pair_solve_relative_residual
500,124718,seed_0_initial,stage,0.02,0,0,0.0,12,77,-0.0017863233459335243,1.9592268652959322,1.9574405419499987,13,False,0.0015692658630459579,0,0,0,0,0.0,0.0007675420492887497,17,6.4170480979571015e-12,0.0009087091311812401,115373,False,False,208355328,0.0006795001681894064,17,6.586460285643116e-12
500,124718,seed_0_initial,stage,0.02,1,115373,0.9250709600859539,13,53,-0.0031558091012957,0.15186790163923647,0.14871209253794077,13,True,0.0,71,8191483,1,115373,0.17406804184429348,0.0008565839380025864,17,7.300608922824769e-12,0.18995300005190074,131,False,False,208355328,0.0006795839872211218,17,6.6972614684372065e-12
500,124718,seed_0_initial,stage,0.02,2,115504,0.926121329719848,13,30,-0.0034298014668565774,0.14839464569592703,0.14496484422907047,13,True,0.0,90,10386059,2,230877,0.05005441699177027,0.000747583108022809,17,7.379625206316458e-12,0.24357904214411974,127,False,False,208355328,0.001373667037114501,17,7.359309553648217e-12
500,124718,seed_0_initial,stage,0.02,3,115631,0.9271396269985086,13,51,-0.0033379617289384447,0.14387497387764236,0.14053701214870393,13,True,0.0,120,13854989,3,346508,0.07152291713282466,0.0007319999858736992,17,7.429815716683633e-12,0.31909345905296504,121,False,False,208355328,0.0006474589463323355,17,6.813552962831953e-12
500,124718,seed_0_initial,stage,0.02,4,115752,0.9281098157443192,13,98,-0.005632174513835136,0.14255760269686985,0.13692542818303471,13,True,0.0,145,16748789,4,462260,0.06000712513923645,0.0007166250143200159,17,7.364485200771395e-12,0.3822466251440346,119,False,False,208355328,0.0006556250154972076,17,6.987396260100331e-12
500,124718,seed_0_initial,stage,0.02,5,115871,0.929063968312513,13,127,-0.002506374864484552,0.13182033916955657,0.12931396430507203,13,True,0.0,169,19529693,5,578131,0.06564558297395706,0.0007178329396992922,17,7.401574796617188e-12,0.4510860841255635,111,False,False,208355328,0.0006433748640120029,17,6.775951701079881e-12
500,124718,seed_0_initial,stage,0.02,6,115982,0.9299539761702401,13,153,-0.0036400011947399953,0.13109385415518005,0.12745385296044004,13,True,0.0,192,22197279,6,694113,0.05690566613338888,0.0007308328058570623,17,7.430830354828373e-12,0.5112271669786423,110,False,False,208355328,0.0006439578719437122,17,6.522813104104167e-12
500,124718,seed_0_initial,stage,0.02,7,116092,0.9308359659391587,13,155,-0.0041518493444202,0.12503657344781494,0.12088472410339474,13,True,0.0,212,24519119,7,810205,0.04650320811197162,0.0007148748263716698,17,7.321732615653838e-12,0.5607054170686752,103,False,False,208355328,0.0007004169747233391,17,6.452471559670653e-12
500,124718,seed_0_initial,stage,0.02,8,116195,0.9316618290864189,13,154,-0.0025587857487075413,0.12089605606601887,0.11833727031731134,13,True,0.0,232,26843019,8,926400,0.04911516699939966,0.0007374580018222332,17,7.368834900303532e-12,0.6133511669468135,0,False,False,208355328,,,
500,124718,seed_0_initial,fallback,0.02,8,124718,1.0,13,,,0.0,,13,True,0.0,299,35199125,9,1051118,0.16421254188753664,0.0,0,0.0,0.7777218341361731,0,False,True,208355328,,,
