action_position_x,action_position_xhat,node_x,node_xhat,action_key_x,action_key_xhat,stable_pair_key,descriptor_graph_distance,distance_quartile,total_structural_influence,factors_for_50_percent,factor_fraction_for_50_percent,factors_for_75_percent,factor_fraction_for_75_percent,factors_for_90_percent,factor_fraction_for_90_percent,factors_for_95_percent,factor_fraction_for_95_percent
18,21,274,299,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010038,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:190d0f6b1b7d60984c823cbcccbff6f27477d38d1acbbaadac1ab09bf4709cba,2,1,1.5759316857337584,761,0.006101765583155599,3081,0.024703731618531406,49230,0.3947305120351513,84148,0.6747061370451739
18,141,274,1584,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010136,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:21ee7a9bf7f15a7231cf0b1c71d6f053e3f7ed2a8b47d213bc40ea071954ccd7,4,1,1.6017871214140564,776,0.006222036915280874,4204,0.0337080453503103,50039,0.4012171458811078,84343,0.6762696643628024
18,24,274,316,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000286938,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:260ca2612db2289785338c96231a0d8cc0fd503fa6261f716099cb8fbc6e24ce,2,1,1.4473373874556417,697,0.005588607899421094,1840,0.01475328340736702,48494,0.3888291986722045,83950,0.6731185554611203
18,49,274,559,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000010042,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:26283c9bad04e871494193a57cb7d6a349493bbdb99909cd31ecf48fbc05c86e,3,1,1.5961466664656778,774,0.006206000737664171,4026,0.03228082554242371,49979,0.4007360605526067,84381,0.6765743517375199
18,20,274,295,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000286928,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:30b61fa5dfd7feaaada8b343ccc9af15cf888eb019bf67b5f0dad6e299504731,1,1,1.532824197973481,718,0.005756987764396478,2318,0.018585929857759104,48712,0.39057714203242516,84032,0.6737760387434051
18,22,274,310,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000011844,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:318cf3095b5b9f55bc8f0b11e5983b6b8b69acf2d65eb086f697fc6a433bd08b,2,1,1.5272134883600943,738,0.005917349540563511,2407,0.0192995397617024,48631,0.3899276768389487,83990,0.6734392790134544
18,181,274,2053,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290216,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:3d0b667c635dafe3a01ab8909d158c99d890de7eee2f2d9cbb6185a8cfa64d30,2,1,1.393445325407403,672,0.005388155679212303,1199,0.009613688481213618,48053,0.38529322150772144,83728,0.6713385397456663
18,25,274,318,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000286943,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:61ef3c9e7df65ecf9ee295f77a6d29a95ea825593b61d46416633c9947c51822,2,1,1.4500564976653012,699,0.005604644077037797,1847,0.014809410029025482,48482,0.38873298160650427,83954,0.6731506278163537
18,126,274,1482,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000289890,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:6237d509ccd037d3bd2033c596fafbd6ce9943da1a5f8d847638148ba3ea0381,4,1,1.4507153071933159,704,0.005644734521079556,2168,0.017383216536506357,48804,0.3913148062027935,84049,0.6739123462531471
18,28,274,398,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000012353,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:64a15ba39d2aedbe6c0cb34ee4395726b7dbe03899311e4785fb992eeda797f2,3,1,1.4913691840713823,721,0.005781042030821533,2339,0.01875430972273449,48630,0.38991965875014034,83978,0.6733430619477542
4,18,88,274,current-nlr-pbe-gw-v1:gw:matdb:000289861,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:65ab19f031d981b671bc9b7db66928370376af77aaafe43481e621c03e41b78c,3,1,1.4313938675261224,691,0.0055404993665709844,1785,0.01431228852290768,48960,0.3925656280568964,84111,0.6744094677592649
18,67,274,705,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290178,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:6b38e4c490d3df652e4c376695845ac78e2e9d138f1464ee640f7082df971695,4,1,1.7779364810369211,855,0.006855465931140653,4442,0.03561635048669799,48200,0.3864718805625491,83759,0.6715871004987252
18,27,274,395,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000289674,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:7c9eddd5d6779d708a77b0d928271f7ffa59bd8a9a58a11ce34d1626e531f8c2,2,1,1.5564155997216247,748,0.005997530428647028,2399,0.019235395051235588,48462,0.38857261983033725,83916,0.6728459404416364
17,18,273,274,current-nlr-pbe-gw-v1:gw:matdb:000012394,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:805421279fde474cdb9a2f1b27411c4d07debcb73f67c7543411247d1e67ddc1,1,1,1.4611268644440583,675,0.005412209945637358,1264,0.010134864253756475,48206,0.3865199890953992,83801,0.6719238602286759
18,50,274,566,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000289749,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:942d9c8ef0ebbfdd36034d8f75f285b76cec34c2a78e95d7416922f78bc94d79,4,1,1.5042389039801947,730,0.005853204830096698,2861,0.022939752080694046,49144,0.39404095639763304,84118,0.6744655943809234
18,171,274,2008,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000290229,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:944c8f8cd67b95c3b5199346f1943c850061573da22345b2299747a28c5220a0,4,1,1.5343653439056388,744,0.005965458073413621,3162,0.02535319681200789,48885,0.39196427139627,84081,0.6741689250950144
18,19,274,294,current-nlr-pbe-gw-v1:gw:matdb:000289620,current-nlr-pbe-gw-v1:gw:matdb:000012301,current-nlr-pbe-gw-v1:composition:00a377c841078b910be1cee88418bce664145efcb4f8efd13f9b637c450380d4|current-nlr-pbe-gw-v1:composition:9e0ad51dc7e098c85c45d5b3f79bdc75c26aa9ecfd9cafa5880f494ee6f77070,2,1,1.4937171526374444,721,0.005781042030821533,2061,0.016525281034012733,48559,0.38935037444474735,83964,0.6732308087044372
