support_position,node_index,role,fps_addition_step,fps_selection_distance,action_key,composition_key,normalized_formula,pbe_band_gap_ev
0,16,pbe_only_fps,305,5.1282176533103385,,current-nlr-pbe-gw-v1:composition:d7ca90fa4be53113c02f99a840a004e8f307b819f09d9b479058ad456d5e5351,Ag In O8 W2,2.897
1,22,pbe_only_fps,154,6.853492894584579,,current-nlr-pbe-gw-v1:composition:1b1bc60f2af9aecf6c88a6c4d8e6263e776cc84f86716837a5009c4d10849191,Ag Na3 O2,1.305
2,32,pbe_only_fps,163,6.715880276497562,,current-nlr-pbe-gw-v1:composition:a15c4c31c5b8eba196ca97439d584ccac3a88ff1027b7363412ceac3f02526dd,Ag11 K O16 V4,1.327
3,34,pbe_only_fps,238,5.763341313499863,,current-nlr-pbe-gw-v1:composition:8b0d63d94af6824fc02191f80070254e04b93b27629e6e513d48831229e93b17,Ag2 Ba Hg2 O4,1.798
4,39,pbe_only_fps,160,6.800739749932549,,current-nlr-pbe-gw-v1:composition:48a91b9de100938047f409f472708ae45770b3f9219e15063de3020d5dee65d4,Ag2 Cu2 O3,0.497
5,48,action,0,0.0,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:composition:200e7dadb9f07b12e1d820065e9ad2de9ecc0c5bcf2e909f9320acf1815a2e53,Ag2 O,0.082
6,51,pbe_only_fps,166,6.670342120152041,,current-nlr-pbe-gw-v1:composition:73fdfda690a0a713e950af61f1400c679b44630ecf9ecb64b136f2916ad63a53,Ag2 O2 Pd,0.359
7,65,pbe_only_fps,257,5.527062721426648,,current-nlr-pbe-gw-v1:composition:bc0452a2c4c7a48688016fad5dbbdd2879fe3197d92160320d6aef5909e7d65f,Ag4 O4 Si,0.764
8,67,pbe_only_fps,300,5.159173436413593,,current-nlr-pbe-gw-v1:composition:b5feb9f3267cc64d24fb5c04a93922a035a92a51c6c51426759f4923d2b3b437,Ag5 O4 Si,0.949
9,68,pbe_only_fps,79,8.630602503282685,,current-nlr-pbe-gw-v1:composition:bd551de622981d701ff0302d1c71bce86437b0e81c344048abb61ebb54ef7977,Ag6 Ba O4,1.091
