action_position_x,action_position_xhat,action_key_x,action_key_xhat,node_x,node_xhat,total_structural_influence,highest_influence_factor_index,highest_influence_factor_graph_distance,factors_for_90_percent,factor_fraction_for_90_percent,factor_set_sha256_for_90_percent,factors_for_95_percent,factor_fraction_for_95_percent,factor_set_sha256_for_95_percent,factors_for_99_percent,factor_fraction_for_99_percent,factor_set_sha256_for_99_percent
0,1,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289692,48,76,6.285590150924976,31,0,526,0.3129089827483641,529fa1b0edc65db26db2a72bc4205ea4a585f450ed1aaaac01cd3dc008ad5a9a,943,0.5609756097560976,8aa610b2770ccfcdb7c8d77b5bfdd0545a10c7455feed5536100c4b7d66fa62a,1469,0.8738845925044616,60c57166ae15b253f54bf184727cec4a915884b677693c1262baab0f18979a32
0,2,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289828,48,77,6.45325839758318,31,0,533,0.3170731707317073,ab39c00d2e6af8c303a7506d757cd58a4c6e6f6b41f8d97e0bcc998a0c12053b,947,0.5633551457465794,b980c8ed285fbcb604f5025689df1a31a94495de7ab7badafae054ec027ea9ec,1476,0.8780487804878049,bb25e7ebcbe06d636ce3e029b9203f6903cab1892914eefd25ee3e6d27b180e7
0,3,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000009744,48,78,6.022107839417962,31,0,459,0.273051754907793,161d56242f51cbfc31e857bff3e1e32302ccc46ae75c0528b20675b8d90425b0,856,0.5092207019631172,0d4c7414cf6dbc65f5efc702b54e8c11058445d332e96e0449eaa336d0ab80fd,1411,0.8393813206424747,06ba65745f979f58e90e19f2f7cf45e144180ab480dfbbe67b0cd9ef1feee82e
0,4,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289861,48,88,5.57738578026113,31,0,537,0.3194527067221892,796d8cd7ac32bda45fe7c853e1b4c2038692c042577e1d2c2c643e3b9b808e82,932,0.5544318857822724,04024c9936accbb28ff915abd00bbaccc6bf93c1ba4262cb6592f85296725650,1461,0.8691255205234979,c132ece7872e509c8206610f266eba7c0befc9f4080c07ccaede205ef36e2c89
0,5,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000011924,48,89,6.297232642044561,1679,0,463,0.27543129089827484,91457b6c7b10a20a46472a3fcfe8275529f89bab61c5410f2d702ff1116d7202,882,0.5246876859012493,3257302cfbbcaa622ae159eb427b7f519c2537d4359f54afdb84708fb1f9d493,1448,0.8613920285544319,dbfd28ca4fde442bec63817fa15d1ea1479dbd4052a4ca1070921c8aa82a0f20
0,6,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000009985,48,120,5.996727639179555,31,0,481,0.2861392028554432,81aa4f1863a3ea7b74ae35780df1de5b6ce7c89556e712ae10e15be297643b5a,895,0.5324211778703153,869318b8c4281f998d04e76f8c1db158c54f42c5fa06fbbb95eee0881bab2985,1440,0.8566329565734682,dd8f1fa0357385388b7dc20be43242182b01de4bfb7e847ec0d0f3c07290e36f
0,7,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000009577,48,122,6.245639354190095,31,0,561,0.33372992266508034,26abcb12363ec64d478fed22d9891e71d461d16677f3f415b0acacb1b4f6cb52,964,0.5734681737061273,2065da9520afa039c65aa2d3485934ef39fbf9994ee8a3ebec41699973b1ba25,1469,0.8738845925044616,1336cd6a585ae4fb459baed4f308177324191e2de7c4810b70834ef1652c7c86
0,8,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000009995,48,125,5.223958259189899,31,0,499,0.29684711481261156,753ebc813925f61d4d003aa21fefaa53542c3bb40968ece3239c61993c85ba91,885,0.5264723378941106,7dc2b68a0af2eba1a42275922e8757f57ad211193647509f482febbafbc77111,1432,0.8518738845925045,460bc474e9cc3c64ba54f2f53013bf5411074339603a5f2ea2617238dd0ab507
0,9,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000289592,48,126,6.176897670320053,31,0,532,0.31647828673408684,9975d3d06b4b1ce638ad69cdb7a65ba13f70a1ecb7cbce6e250252971e7a77d1,941,0.5597858417608567,a52aca371386486349157ba5f212995a79e9524ae436e6009feda9ab5bd30b3b,1459,0.8679357525282569,b726de434884e78a7eaef923197852fb70e0dc852216c58b77f70aa98fcbdd6d
0,10,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000009582,48,131,6.523643842995158,31,0,412,0.24509220701963116,dceef7ab3a49c02a608a8291676c459380aaa565901220b770eae7ddddc07ad8,809,0.4812611540749554,9b570d5a4e878e7a3dd0014de7e4c0e10cbaab4e9c557f157324de0d3fbd98ee,1407,0.8370017846519928,872535cb106392d2f45b3c48837e40619befa359bffd6d85e59d53d7e19091e3
0,11,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010003,48,133,6.6529345400631765,31,0,566,0.3367043426531826,28f4e19392dac070dec37909f23ffd4562e22cd2569e633e0884e3b3612240af,970,0.5770374776918501,1583031b219967bab25b42c79412ed661b937814f18f5a3d8c42e49ed4eea633,1478,0.8792385484830458,53b78cf0c1ab7cc7167ddd527c0fa65c665891bdced9f79a182a407c862f65a5
0,12,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000009592,48,138,4.67336175093601,31,0,607,0.36109458655562165,c85d5ad1c6c1fd230b20722918a2480cf1be1e9930ca90f24fdcf863710f414c,1000,0.594883997620464,83f096f0f87cc4d691f8cfca89e053fb4f25c3598c885c46403486ebc2d83f41,1490,0.8863771564544913,e848c4ee502f812e0b19a39007a329cbf3725a2770bdbaaeaecb9ac2d2fe8aa9
0,13,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000010014,48,143,6.166015611249195,1680,0,447,0.26591314693634743,296a08089a8f791be6f832561e5239be45ccdd556a45d7e4457dfebbae759e2b,865,0.5145746579417013,195a732a86e8329698d68b611032512af12c72bc04f134cfa3d31ab5d1c65517,1440,0.8566329565734682,c8564f1c83494593fe1a0d9092d1af7a51d72b39c2507b2fab5ec72d53ab8d7e
0,14,current-nlr-pbe-gw-v1:gw:matdb:000286913,current-nlr-pbe-gw-v1:gw:matdb:000009613,48,148,4.458319643952376,31,0,553,0.3289708506841166,3120b6f33de8ddeef7f2ea0ff41ef21597ba8e47a0dc1e70034bd23becb32c5d,939,0.5585960737656157,d57847c8e97c9c1996f37546d1dc29f3b366ea766ada2bbe88b88e4eff0503ef,1458,0.8673408685306365,e8170f9e9e091c0ddf0087a5a8a1df9b93a76a89a9c8790263d2c2df8c1391b6
