round,batch_id,chunk_index,proposals_generated,proposals_consumed,accepted_candidates,accepted_retained,cumulative_proposals_generated,cumulative_proposals_consumed,cumulative_accepted_retained
0,cert-r00-72710d60b807344586f4,0,25000,25000,25000,25000,25000,25000,25000
0,cert-r00-72710d60b807344586f4,1,25000,25000,25000,25000,50000,50000,50000
0,cert-r00-72710d60b807344586f4,2,25000,25000,25000,25000,75000,75000,75000
0,cert-r00-72710d60b807344586f4,3,25000,25000,25000,25000,100000,100000,100000
1,cert-r01-1e25779473527335f84e,0,25000,25000,19840,19840,25000,25000,19840
1,cert-r01-1e25779473527335f84e,1,25000,25000,19882,19882,50000,50000,39722
1,cert-r01-1e25779473527335f84e,2,25000,25000,19709,19709,75000,75000,59431
1,cert-r01-1e25779473527335f84e,3,25000,25000,19702,19702,100000,100000,79133
1,cert-r01-1e25779473527335f84e,4,25000,25000,19780,19780,125000,125000,98913
1,cert-r01-1e25779473527335f84e,5,25000,1382,19875,1087,150000,126382,100000
2,cert-r02-365acc0d6dcec684aba9,0,25000,25000,15659,15659,25000,25000,15659
2,cert-r02-365acc0d6dcec684aba9,1,25000,25000,15627,15627,50000,50000,31286
2,cert-r02-365acc0d6dcec684aba9,2,25000,25000,15659,15659,75000,75000,46945
2,cert-r02-365acc0d6dcec684aba9,3,25000,25000,15580,15580,100000,100000,62525
2,cert-r02-365acc0d6dcec684aba9,4,25000,25000,15687,15687,125000,125000,78212
2,cert-r02-365acc0d6dcec684aba9,5,25000,25000,15699,15699,150000,150000,93911
2,cert-r02-365acc0d6dcec684aba9,6,25000,9656,15700,6089,175000,159656,100000
3,cert-r03-c0891a04a0903c150f49,0,25000,25000,13146,13146,25000,25000,13146
3,cert-r03-c0891a04a0903c150f49,1,25000,25000,13247,13247,50000,50000,26393
3,cert-r03-c0891a04a0903c150f49,2,25000,25000,13264,13264,75000,75000,39657
3,cert-r03-c0891a04a0903c150f49,3,25000,25000,13129,13129,100000,100000,52786
3,cert-r03-c0891a04a0903c150f49,4,25000,25000,13337,13337,125000,125000,66123
3,cert-r03-c0891a04a0903c150f49,5,25000,25000,13302,13302,150000,150000,79425
3,cert-r03-c0891a04a0903c150f49,6,25000,25000,13039,13039,175000,175000,92464
3,cert-r03-c0891a04a0903c150f49,7,25000,14353,13101,7536,200000,189353,100000
4,cert-r04-219efb19641716b1df40,0,25000,25000,10465,10465,25000,25000,10465
4,cert-r04-219efb19641716b1df40,1,25000,25000,10554,10554,50000,50000,21019
4,cert-r04-219efb19641716b1df40,2,25000,25000,10547,10547,75000,75000,31566
4,cert-r04-219efb19641716b1df40,3,25000,25000,10471,10471,100000,100000,42037
4,cert-r04-219efb19641716b1df40,4,25000,25000,10515,10515,125000,125000,52552
4,cert-r04-219efb19641716b1df40,5,25000,25000,10641,10641,150000,150000,63193
4,cert-r04-219efb19641716b1df40,6,25000,25000,10515,10515,175000,175000,73708
4,cert-r04-219efb19641716b1df40,7,25000,25000,10510,10510,200000,200000,84218
4,cert-r04-219efb19641716b1df40,8,25000,25000,10578,10578,225000,225000,94796
4,cert-r04-219efb19641716b1df40,9,25000,12456,10484,5204,250000,237456,100000
