added_observations,cache_chol_max_abs_error,cache_mean_max_abs_error,cache_variance_max_abs_error,conditional_ess_fraction,count,ess,ess_fraction,full_factorization_seconds,full_factorizations,incremental_log_likelihood_variance,likelihood_seconds,likelihood_updates,marginal_increment_max_abs_error,negative_log_ess_fraction,prediction_seconds,rank_one_appends,rank_one_seconds,seed,sequential_update_seconds,validation_factorizations,validation_seconds
0,0.0,0.0,0.0,1.0,16,255.99999999999994,0.9999999999999998,,,0.0,,,0.0,0.0,,,,0,0.0,,
1,7.271960811294775e-15,1.2789769243681803e-13,2.1316282072803006e-14,0.7342764140288871,17,187.97476199139507,0.734276414028887,0.004697455000041373,256,1.334926061917753,0.001099848000080783,256,1.438849039914203e-13,0.30886973538786505,0.003277922000052058,256,0.001250406000053772,0,0.0029363190000140094,768,0.00909828600003948
2,8.389122729823839e-15,1.5276668818842154e-13,1.7763568394002505e-14,0.8041987429970152,18,116.66673037266034,0.45572941551820445,0.004697455000041373,256,0.53696237477249,0.001998413000137589,512,5.1958437552457326e-14,0.7858560326129875,0.005601988000080382,512,0.0024502270000539284,0,0.0026639190000423696,1536,0.006997861000058947
3,1.3433698597964394e-14,1.4210854715202004e-13,1.7763568394002505e-14,0.8660188295885891,19,70.93715081387079,0.27709824536668276,0.004697455000041373,256,0.20119173812797547,0.002900530000147228,768,2.717825964282383e-13,1.2833831592635925,0.007815851000032126,768,0.003609522000033394,0,0.0025503499999786072,2304,0.006333720000043286
4,1.3433698597964394e-14,8.526512829121202e-14,1.7763568394002505e-14,0.21205149918163116,20,7.508063867490787,0.029328374482385886,0.004697455000041373,256,5.826510140452688,0.0036948260001281596,1024,7.922551503725117e-13,3.5291998191997407,0.010536207000086506,1024,0.005688028000122358,0,0.003342858999985765,3072,0.00805020699999659
5,1.3433698597964394e-14,2.0961010704922955e-13,2.1316282072803006e-14,0.782717285225587,21,6.584538347729905,0.02572085292081994,0.004697455000041373,256,1.2572307095594581,0.004862273000071582,1280,1.3855583347321954e-13,3.6604532183888434,0.014259404000085851,1280,0.007067538000114837,0,0.003224796000040442,3840,0.011083906000067145
6,1.3433698597964394e-14,1.4210854715202004e-13,2.1316282072803006e-14,0.903362489670126,22,4.152805670591528,0.016221897150748156,0.004697455000041373,256,0.2403994201808059,0.005885745000000497,1536,2.4424906541753444e-13,4.121393273463307,0.01751588900015122,1536,0.008358765000025414,0,0.0030935730000010153,4608,0.009463064999977178
7,1.3475331961387838e-14,2.1316282072803006e-13,2.4868995751603507e-14,0.9143791427874426,23,3.254098821195357,0.012711323520294363,0.004697455000041373,256,0.28730852838035015,0.008033153000042148,1792,1.7053025658242404e-13,4.36526206699961,0.021851956000205064,1792,0.009764166000081786,0,0.004071105000093667,5376,0.00960251700007575
8,1.657007864253046e-14,1.3500311979441904e-13,1.0658141036401503e-14,0.9553504112019203,24,2.5355071775393743,0.00990432491226318,0.004697455000041373,256,0.06489076942730544,0.008993756000108988,2048,1.5010215292932116e-13,4.6147837574125,0.024351923000153874,2048,0.011102331000074628,0,0.0027732609999020497,6144,0.007755522000024939
9,1.657007864253046e-14,2.5579538487363607e-13,1.7763568394002505e-14,0.9592518078005909,25,2.09322649587482,0.008176665999511015,0.004697455000041373,256,0.09102151881679202,0.010179631000028166,2304,2.19824158875781e-13,4.8064707909724715,0.02755624100007026,2304,0.01306750500009457,0,0.003756166000016492,6912,0.010502363999989939
10,1.8122656153529704e-14,1.6608936448392342e-13,2.1316282072803006e-14,0.9855799408938419,26,2.1285554320544575,0.008314669656462725,0.004697455000041373,256,0.015732786938478585,0.011167762000013681,2560,5.968558980384842e-13,4.789733895753902,0.030218419000107133,2560,0.014452966000135348,0,0.0028928579999956128,7680,0.00772532799999226
11,2.085831507514513e-14,1.9895196601282805e-13,1.7763568394002505e-14,0.9560617698129684,27,2.106369639252568,0.008228006403330344,0.004697455000041373,256,0.03314887691968495,0.01220976900003734,2816,5.258016244624741e-13,4.800211528955177,0.03306955900006869,2816,0.015841551000107756,0,0.0029486959999758255,8448,0.009140582999975777
12,2.7727820040013285e-14,1.2789769243681803e-13,1.7763568394002505e-14,0.9782094013283988,28,1.835999432825967,0.007171872784476434,0.004697455000041373,256,0.03465728652240231,0.013220580000051996,3072,5.697664562376303e-13,4.93758846119963,0.03593224900009773,3072,0.01947028700010378,0,0.005156794000072296,9216,0.009926763999942523
