component,count,cumulative_explained_squared_fraction,entropy_effective_rank,explained_squared_fraction,rank90,rank95,rank99,seed,singular_value,space,stable_rank
1,8,0.6575321360208363,3.3831674901249307,0.6575321360208363,4,6,11,0,73.39280113391702,acquisition,1.5208382149223372
2,8,0.8399875972457521,3.3831674901249307,0.18245546122491585,4,6,11,0,38.66102867687965,acquisition,1.5208382149223372
3,8,0.8896627860345988,3.3831674901249307,0.04967518878884669,4,6,11,0,20.172732748892308,acquisition,1.5208382149223372
4,8,0.9202249043990629,3.3831674901249307,0.030562118364464128,4,6,11,0,15.822922411542383,acquisition,1.5208382149223372
5,8,0.9433785911969682,3.3831674901249307,0.023153686797905262,4,6,11,0,13.772254798994968,acquisition,1.5208382149223372
6,8,0.9575202085503128,3.3831674901249307,0.014141617353344594,4,6,11,0,10.763276887574664,acquisition,1.5208382149223372
7,8,0.9681578516785992,3.3831674901249307,0.01063764312828645,4,6,11,0,9.33507217470345,acquisition,1.5208382149223372
8,8,0.9779358023462449,3.3831674901249307,0.009777950667645599,4,6,11,0,8.949914629165619,acquisition,1.5208382149223372
9,8,0.982576844391701,3.3831674901249307,0.0046410420454561655,4,6,11,0,6.165988682796694,acquisition,1.5208382149223372
10,8,0.9864932942742439,3.3831674901249307,0.003916449882542894,4,6,11,0,5.664234938435322,acquisition,1.5208382149223372
11,8,0.9900747442707103,3.3831674901249307,0.0035814499964663994,4,6,11,0,5.416570720580758,acquisition,1.5208382149223372
12,8,0.9920027227262073,3.3831674901249307,0.0019279784554969838,4,6,11,0,3.9741665173255254,acquisition,1.5208382149223372
13,8,0.9936127299728661,3.3831674901249307,0.0016100072466588232,4,6,11,0,3.6316909786804663,acquisition,1.5208382149223372
14,8,0.9949822796552183,3.3831674901249307,0.001369549682352271,4,6,11,0,3.3495299667012692,acquisition,1.5208382149223372
15,8,0.9962205026802226,3.3831674901249307,0.001238223025004229,4,6,11,0,3.1848897972825756,acquisition,1.5208382149223372
16,8,0.9972637340994513,3.3831674901249307,0.0010432314192287638,4,6,11,0,2.92338019872921,acquisition,1.5208382149223372
17,8,0.9978801390783512,3.3831674901249307,0.0006164049788998438,4,6,11,0,2.2471291879078783,acquisition,1.5208382149223372
18,8,0.9983406766705576,3.3831674901249307,0.00046053759220640833,4,6,11,0,1.9423501114255632,acquisition,1.5208382149223372
19,8,0.9987021374798665,3.3831674901249307,0.00036146080930885845,4,6,11,0,1.7207809128003975,acquisition,1.5208382149223372
20,8,0.9989902467966973,3.3831674901249307,0.0002881093168308903,4,6,11,0,1.5362914838918602,acquisition,1.5208382149223372
21,8,0.9992429466439096,3.3831674901249307,0.0002526998472122571,4,6,11,0,1.4387901682882083,acquisition,1.5208382149223372
22,8,0.999450310275343,3.3831674901249307,0.00020736363143345957,4,6,11,0,1.303350631527411,acquisition,1.5208382149223372
23,8,0.9996085058943128,3.3831674901249307,0.0001581956189698028,4,6,11,0,1.1383929508744441,acquisition,1.5208382149223372
24,8,0.9997362785503267,3.3831674901249307,0.0001277726560138344,4,6,11,0,1.0230902199050345,acquisition,1.5208382149223372
25,8,0.9998184024034932,3.3831674901249307,8.21238531665344e-05,4,6,11,0,0.8202186325244324,acquisition,1.5208382149223372
26,8,0.9998938942819784,3.3831674901249307,7.549187848521956e-05,4,6,11,0,0.7864028665708936,acquisition,1.5208382149223372
27,8,0.9999375212089194,3.3831674901249307,4.3626926940994175e-05,4,6,11,0,0.5978225367955146,acquisition,1.5208382149223372
28,8,0.9999626522700952,3.3831674901249307,2.5131061175764325e-05,4,6,11,0,0.4537330196843309,acquisition,1.5208382149223372
29,8,0.9999813474466919,3.3831674901249307,1.869517659669535e-05,4,6,11,0,0.3913449714511844,acquisition,1.5208382149223372
30,8,0.9999926356071647,3.3831674901249307,1.1288160472768082e-05,4,6,11,0,0.3040930952733326,acquisition,1.5208382149223372
