dimension,median_inverse_lengthscale,method,n,regime,seed
0,0.00011635758522389509,B1,16,G,0
1,9.999999999999991e-05,B1,16,G,0
2,0.00023652396809934468,B1,16,G,0
3,9.999999999999991e-05,B1,16,G,0
4,0.0005403870958517505,B1,16,G,0
5,0.00010000003083756508,B1,16,G,0
6,9.999999999999991e-05,B1,16,G,0
7,0.6541528218911958,B1,16,G,0
8,9.999999999999991e-05,B1,16,G,0
9,0.0010326431804576347,B1,16,G,0
10,0.17633467356377341,B1,16,G,0
11,9.999999999999991e-05,B1,16,G,0
12,9.999999999999991e-05,B1,16,G,0
13,9.999999999999991e-05,B1,16,G,0
14,1.1560289112824111,B1,16,G,0
15,0.3183576102254567,B1,16,G,0
16,9.999999999999991e-05,B1,16,G,0
17,0.24422487323533543,B1,16,G,0
18,9.999999999999991e-05,B1,16,G,0
19,9.999999999999991e-05,B1,16,G,0
0,0.3887179743858869,B0-NUTS,16,G,0
1,0.43245422891299845,B0-NUTS,16,G,0
2,0.38206757912294875,B0-NUTS,16,G,0
3,0.4022309208871138,B0-NUTS,16,G,0
4,0.4055484511734625,B0-NUTS,16,G,0
5,0.3965765341115809,B0-NUTS,16,G,0
6,0.36959704873252675,B0-NUTS,16,G,0
7,0.4123461980620286,B0-NUTS,16,G,0
8,0.47526188270613645,B0-NUTS,16,G,0
9,0.4234159462468605,B0-NUTS,16,G,0
10,0.41200741306564354,B0-NUTS,16,G,0
11,0.339110814686933,B0-NUTS,16,G,0
12,0.40203529578718233,B0-NUTS,16,G,0
13,0.41431953001578825,B0-NUTS,16,G,0
14,0.40640160033574463,B0-NUTS,16,G,0
15,0.4571114082381371,B0-NUTS,16,G,0
16,0.36986734540862415,B0-NUTS,16,G,0
17,0.38376187825974833,B0-NUTS,16,G,0
18,0.4117640151020364,B0-NUTS,16,G,0
19,0.4122698418369959,B0-NUTS,16,G,0
0,0.9232632064569793,B1,32,G,0
1,9.999999999999991e-05,B1,32,G,0
2,9.999999999999991e-05,B1,32,G,0
3,9.999999999999991e-05,B1,32,G,0
4,9.999999999999991e-05,B1,32,G,0
5,0.00044886833094585747,B1,32,G,0
6,0.5807593590593908,B1,32,G,0
7,0.3194973047151218,B1,32,G,0
8,0.0005719195693583408,B1,32,G,0
9,9.999999999999991e-05,B1,32,G,0
10,0.5186943097683262,B1,32,G,0
11,0.00034937049740154817,B1,32,G,0
12,1.3677251889068613,B1,32,G,0
13,1.757045711384106,B1,32,G,0
14,0.0003294090664319677,B1,32,G,0
15,0.1483899672910831,B1,32,G,0
16,0.47093008229731687,B1,32,G,0
17,9.999999999999991e-05,B1,32,G,0
18,0.0017595419731989087,B1,32,G,0
19,0.5363764611017301,B1,32,G,0
0,0.7391478567484676,B0-NUTS,32,G,0
1,0.5165800416750066,B0-NUTS,32,G,0
2,0.5538266989017598,B0-NUTS,32,G,0
3,0.5261670304368327,B0-NUTS,32,G,0
4,0.5805789763592465,B0-NUTS,32,G,0
5,0.5432114531437514,B0-NUTS,32,G,0
6,0.6130245888214526,B0-NUTS,32,G,0
7,0.6050534013974305,B0-NUTS,32,G,0
8,0.6120128733233213,B0-NUTS,32,G,0
9,0.6229126202214137,B0-NUTS,32,G,0
10,0.6747168108218097,B0-NUTS,32,G,0
11,0.554727421528659,B0-NUTS,32,G,0
12,0.7472501543363419,B0-NUTS,32,G,0
13,0.6656646717557472,B0-NUTS,32,G,0
14,0.7659790341264666,B0-NUTS,32,G,0
15,0.6498607023460133,B0-NUTS,32,G,0
16,0.544013563980771,B0-NUTS,32,G,0
17,0.5599311945576647,B0-NUTS,32,G,0
18,0.4817455963465711,B0-NUTS,32,G,0
19,0.5598352502033059,B0-NUTS,32,G,0
0,4.804262073229314,B1,64,G,0
1,4.522714377598583,B1,64,G,0
2,9.999999999999991e-05,B1,64,G,0
3,9.999999999999991e-05,B1,64,G,0
4,9.999999999999991e-05,B1,64,G,0
5,0.00026826432908540096,B1,64,G,0
6,9.999999999999991e-05,B1,64,G,0
7,0.00010063605237836448,B1,64,G,0
8,9.999999999999991e-05,B1,64,G,0
9,0.0005663479052848262,B1,64,G,0
10,9.999999999999991e-05,B1,64,G,0
11,9.999999999999991e-05,B1,64,G,0
12,0.00022486729938371453,B1,64,G,0
13,9.999999999999991e-05,B1,64,G,0
14,9.999999999999991e-05,B1,64,G,0
15,0.1802793693554569,B1,64,G,0
16,0.0003653469043719047,B1,64,G,0
17,9.999999999999991e-05,B1,64,G,0
18,9.999999999999991e-05,B1,64,G,0
19,9.999999999999991e-05,B1,64,G,0
0,4.8356431766487535,B0-NUTS,64,G,0
1,3.9665084440819296,B0-NUTS,64,G,0
2,0.1265005472374799,B0-NUTS,64,G,0
3,0.09366284394905124,B0-NUTS,64,G,0
4,0.15900654328716113,B0-NUTS,64,G,0
5,0.11515015465795285,B0-NUTS,64,G,0
6,0.11603097632704666,B0-NUTS,64,G,0
7,0.12368765749718603,B0-NUTS,64,G,0
8,0.10423670026162872,B0-NUTS,64,G,0
9,0.12149704826797036,B0-NUTS,64,G,0
10,0.1225288056425569,B0-NUTS,64,G,0
11,0.09938664369686173,B0-NUTS,64,G,0
12,0.10342618766596728,B0-NUTS,64,G,0
13,0.12751500657271775,B0-NUTS,64,G,0
14,0.12333721122957482,B0-NUTS,64,G,0
15,0.12471216086268504,B0-NUTS,64,G,0
16,0.12149756558692318,B0-NUTS,64,G,0
17,0.11252047804484364,B0-NUTS,64,G,0
18,0.11408983487706141,B0-NUTS,64,G,0
19,0.1136335001985115,B0-NUTS,64,G,0
0,0.0005952661972850946,B1,16,W,0
1,9.999999999999991e-05,B1,16,W,0
2,0.0007277837558123606,B1,16,W,0
3,9.999999999999991e-05,B1,16,W,0
4,0.0008825156596599104,B1,16,W,0
5,9.999999999999991e-05,B1,16,W,0
6,9.999999999999991e-05,B1,16,W,0
7,1.0762944634482043,B1,16,W,0
8,0.00022182757062720005,B1,16,W,0
9,0.0003077983921758294,B1,16,W,0
10,0.0004197981793573389,B1,16,W,0
11,9.999999999999991e-05,B1,16,W,0
12,0.0001966649621235565,B1,16,W,0
13,9.999999999999991e-05,B1,16,W,0
14,1.4434252648030217,B1,16,W,0
15,0.9591354312352577,B1,16,W,0
16,9.999999999999991e-05,B1,16,W,0
17,0.0035573425469454367,B1,16,W,0
18,0.004799590400882845,B1,16,W,0
19,9.999999999999991e-05,B1,16,W,0
0,0.3823019981179014,B0-NUTS,16,W,0
1,0.39631231864882455,B0-NUTS,16,W,0
2,0.35988189020054506,B0-NUTS,16,W,0
3,0.39713281569089964,B0-NUTS,16,W,0
4,0.34333905893912925,B0-NUTS,16,W,0
5,0.360633769649003,B0-NUTS,16,W,0
6,0.37052396161703455,B0-NUTS,16,W,0
7,0.378774820970478,B0-NUTS,16,W,0
8,0.4332018887477809,B0-NUTS,16,W,0
9,0.39198685003748457,B0-NUTS,16,W,0
10,0.41001036299923316,B0-NUTS,16,W,0
11,0.34975918845375753,B0-NUTS,16,W,0
12,0.37924103828509603,B0-NUTS,16,W,0
13,0.43467675878739465,B0-NUTS,16,W,0
14,0.4480129105212554,B0-NUTS,16,W,0
15,0.39104547991633554,B0-NUTS,16,W,0
16,0.35206776502919096,B0-NUTS,16,W,0
17,0.34699987324606,B0-NUTS,16,W,0
18,0.38059578120656845,B0-NUTS,16,W,0
19,0.3643211186918975,B0-NUTS,16,W,0
0,0.00010024585780108248,B1,32,W,0
1,9.999999999999991e-05,B1,32,W,0
2,0.00029977023502936455,B1,32,W,0
3,0.0005019991758527682,B1,32,W,0
4,0.0009651071793564275,B1,32,W,0
5,9.999999999999991e-05,B1,32,W,0
6,0.00011986530687864601,B1,32,W,0
7,0.00032386064933811684,B1,32,W,0
8,0.0006797573785221368,B1,32,W,0
9,0.00010013063909305875,B1,32,W,0
10,1.4223145066678562,B1,32,W,0
11,0.00017179826774015968,B1,32,W,0
12,9.999999999999991e-05,B1,32,W,0
13,0.00016205704990038676,B1,32,W,0
14,1.4324543906955782,B1,32,W,0
15,0.663385476497477,B1,32,W,0
16,0.46085958132803173,B1,32,W,0
17,0.7023112440149518,B1,32,W,0
18,0.6304342919081293,B1,32,W,0
19,9.999999999999991e-05,B1,32,W,0
0,0.6110858850938883,B0-NUTS,32,W,0
1,0.46742621170707305,B0-NUTS,32,W,0
2,0.4792513170164137,B0-NUTS,32,W,0
3,0.5398355464660067,B0-NUTS,32,W,0
4,0.5312843808189229,B0-NUTS,32,W,0
5,0.5298791861351793,B0-NUTS,32,W,0
6,0.5074348562795862,B0-NUTS,32,W,0
7,0.5035664709776495,B0-NUTS,32,W,0
8,0.6833251290733212,B0-NUTS,32,W,0
9,0.49612855978815,B0-NUTS,32,W,0
10,0.5721363092179618,B0-NUTS,32,W,0
11,0.43124552500191904,B0-NUTS,32,W,0
12,0.5270869793408497,B0-NUTS,32,W,0
13,0.5063018087700251,B0-NUTS,32,W,0
14,0.6717409376553566,B0-NUTS,32,W,0
15,0.6031951997238698,B0-NUTS,32,W,0
16,0.569914404871332,B0-NUTS,32,W,0
17,0.4857733418015361,B0-NUTS,32,W,0
18,0.4860283147168278,B0-NUTS,32,W,0
19,0.464293698952019,B0-NUTS,32,W,0
0,4.40831014288941,B1,64,W,0
1,4.617180443014329,B1,64,W,0
2,9.999999999999991e-05,B1,64,W,0
3,9.999999999999991e-05,B1,64,W,0
4,0.00011559939341574654,B1,64,W,0
5,9.999999999999991e-05,B1,64,W,0
6,9.999999999999991e-05,B1,64,W,0
7,0.0006442464891417398,B1,64,W,0
8,9.999999999999991e-05,B1,64,W,0
9,9.999999999999991e-05,B1,64,W,0
10,9.999999999999991e-05,B1,64,W,0
11,9.999999999999991e-05,B1,64,W,0
12,9.999999999999991e-05,B1,64,W,0
13,0.32844407188070224,B1,64,W,0
14,0.0001000000917064599,B1,64,W,0
15,0.0002146602476170084,B1,64,W,0
16,9.999999999999991e-05,B1,64,W,0
17,9.999999999999991e-05,B1,64,W,0
18,9.999999999999991e-05,B1,64,W,0
19,9.999999999999991e-05,B1,64,W,0
0,4.622648251953403,B0-NUTS,64,W,0
1,4.426632984272003,B0-NUTS,64,W,0
2,0.12234759774197074,B0-NUTS,64,W,0
3,0.11781011527693849,B0-NUTS,64,W,0
4,0.1622726673834694,B0-NUTS,64,W,0
5,0.11548989787574412,B0-NUTS,64,W,0
6,0.11004708575909625,B0-NUTS,64,W,0
7,0.12859496039215296,B0-NUTS,64,W,0
8,0.11123587400758796,B0-NUTS,64,W,0
9,0.11854655681359069,B0-NUTS,64,W,0
10,0.11620613667028788,B0-NUTS,64,W,0
11,0.10346285750343145,B0-NUTS,64,W,0
12,0.10264749577946401,B0-NUTS,64,W,0
13,0.14875541307640683,B0-NUTS,64,W,0
